ID canton	Code departement	Libelle canton
01_1	01	AMBERIEU EN BUGEY
01_2	01	ATTIGNAT
01_3	01	BAGE LE CHATEL
01_4	01	BELLEGARDE SUR VALSERINE
01_5	01	BELLEY
01_6	01	BOURG EN BRESSE 1
01_7	01	BOURG EN BRESSE 2
01_8	01	BOURG EN BRESSE EST
01_9	01	BOURG EN BRESSE NORD CENTRE
01_10	01	BOURG EN BRESSE SUD
01_11	01	BRENOD
01_12	01	CEYZERIAT
01_13	01	CHALAMONT
01_14	01	CHAMPAGNE EN VALROMEY
01_15	01	CHATILLON SUR CHALARONNE
01_16	01	COLIGNY
01_17	01	COLLONGES
01_18	01	FERNEY VOLTAIRE
01_19	01	GEX
01_20	01	HAUTEVILLE LOMPNES
01_21	01	IZERNORE
01_22	01	LAGNIEU
01_23	01	LHUIS
01_24	01	MEXIMIEUX
01_25	01	MIRIBEL
01_26	01	MONTLUEL
01_27	01	MONTREVEL EN BRESSE
01_28	01	NANTUA
01_29	01	OYONNAX
01_30	01	OYONNAX NORD
01_31	01	OYONNAX SUD
01_32	01	PERONNAS
01_33	01	PONCIN
01_34	01	PONT D AIN
01_35	01	PONT DE VAUX
01_36	01	PONT DE VEYLE
01_37	01	REPLONGES
01_38	01	REYRIEUX
01_39	01	SAINT ETIENNE DU BOIS
01_40	01	SAINT GENIS POUILLY
01_41	01	SAINT RAMBERT EN BUGEY
01_42	01	SAINT TRIVIER DE COURTES
01_43	01	SAINT TRIVIER SUR MOIGNANS
01_44	01	SEYSSEL
01_45	01	THOIRY
01_46	01	THOISSEY
01_47	01	TREFFORT CUISIAT
01_48	01	TREVOUX
01_49	01	VILLARS LES DOMBES
01_50	01	VIRIAT
01_51	01	VIRIEU LE GRAND
01_52	01	VONNAS
02_1	02	ANIZY LE CHATEAU
02_2	02	AUBENTON
02_3	02	BOHAIN EN VERMANDOIS
02_4	02	BRAINE
02_5	02	CHARLY
02_6	02	CHATEAU THIERRY
02_7	02	CHAUNY
