Main Id	Other ids
48	396577
414	1174477
719	867313
789	1202675
859	1018794
1011	336793
1238	1146531
2003	443918
2238	1174415
2261	1168480
2410	1392141
2510	1493198
3053	1395452
3078	1395740
3130	1329160
3386	1391540
3682	1395483
3920	1496451
3987	1164893
4279	1389468
4293	1383129
4557	1456056
4896	1391814
4908	1501526
5563	1395686
5687	7482
6110	1180672
7074	1392439
7192	1391794
7468	1390939
7949	1392943
8098	1255132
8258	1512399
8334	1394385
8368	1394573
9284	1229479
9601	1250953
9998	1493336
10087	1395290
10161	1390586
10178	442722
10254	1229534
11079	986115
11097	1318795
11224	1331418
11294	1399784
11507	1399788
11546	1256156
11548	1391953
11702	1171002
11753	1399670
11809	1392177
11864	1405911
12084	141011
12243	1392461
12510	1520369
13157	1392814
13385	1255991
13390	1332344
13518	1255992
13528	1402077
14022	1402440
14796	1216122
14934	1229614
16309	1216276
16401	1331526
16961	1392739
17108	1249757
17673	1229696
17725	983978
17736	1169423
17770	983979
20302	983980
20395	1435744
20582	1384102
21225	1496716
21948	1170912
22909	1185685
22416	1198037
22437	1493863
22705	1384723
22963	1400234
23154	89879
24025	918423
24084	1492706
24139	1249538
24273	1435850
24377	1404144
24393	1404138
24445	1180971
24456	1268577
24482	1200975
24572	1384779
24904	1208084
25930	901879
26578	1209318
26955	1385149
26957	1385148
27168	898950
27196	1332732
28318	1492919
28360	1255230
28779	1332763
29133	1400362
29588	1405593
29612	1391216
29670	1438054
29672	1402171
29765	1391719
29871	1332973
30271	1399781
30272	1399845
30336	1494325
30424	1494327
30744	1385962
31037	1404279
31172	1395022
31360	1386424
31374	1386421
31533	1500449
31542	1390457
31624	1383185
31632	1389904
31645	1434259
31665	1389914
31929	1494115
32047	1393127
32103	1383186
32334	1523515
32372	1386733
32428	1171429
32574	1390612
32685	1395584
32690	1395586
32931	1263347
33105	1513168
33348	1333014
33482	1435623
33521	1383266
33733	1260881
33811	872158
33837	1200675
33885	1389706
33904	1391836
34763	1255222
34893	1255223
34977	1400347
35018	1256469
35122	1364255
35359	1400578
35432	1494407
35911	1494451
36273	1393379
36650	1255805
36746	1207951
36988	1256142
37144	1254951
37336	1400010
37374	1383356
37661	1169957
38062	1251124
38211	1383379
38335	1256079
38458	1383383
38662	1255204
38683	1514552
38834	1394912
38900	1256280
38936	1255623
39023	1255075
39038	1255073
39142	1332435
39188	1255077
39210	1255072
39241	1255074
39472	872015
39559	1200493
39900	1164093
40179	1384087
40517	1403968
40721	1255218
40915	1255836
40937	1333434
41005	1255254
41225	1170642
41529	1255259
41544	1434335
41573	1404826
41886	1508280
42162	1185780
42359	1437648
42376	163280,1168761
42586	1255875
42718	1502385
42741	1435537
42952	1317411
43066	1437592
43112	1437594
43638	1393837
43892	1394080
44185	1186622
44206	1007154
44748	834257
45332	1384813
45389	1499616
45443	1180779
45465	1394325
45814	1394905
45864	1168999
45866	1394906
46456	1318869
46554	1400634
46699	872173
47034	1437921
47233	1167401
47234	373844
47510	1437922
47560	1384905
47727	1504571
47917	1476201
48107	1480194
48129	1493143
48139	1514038
48268	872273
48289	1255154
48330	1383313
48370	1383312
48387	1524933
48412	1436955
