Id A	Id B
2958	688027
10565	93015
11944	1168657
21879	823497
29254	1168668
31939	1182572
37661	1169957
44269	1168057
44637	1161298
46842	167808
47233	1167401
47302	1170411
53888	1172472
54532	1168076
56540	1174184
57009	1166840
57834	1170415
61025	1170743
62271	704913
63714	1174350
73195	1180959
74013	399853
74455	1174248
77848	352296
78208	1172166
81604	1167822
90755	1166066
91690	1168242
92817	145638
94033	332296
97506	991953
112547	1169603
116188	1168119
117192	149616
141502	685704
142128	1167404
143228	644495
143976	1185701
144068	1164200
145084	1168317
146838	1369925
148263	1168796
149915	1166892
152330	1167934
152648	1168418
156173	1500021
156655	271372
156702	158455
158093	164602
160378	1169702
160728	740944
160728	1182654
161832	1168456
162401	1166856
164019	1164574
164586	340722
166201	526318
168298	826164
168643	1187089
170018	1166842
173044	1168400
173239	1165896
173684	541703
173684	1167724
177073	1172962
180460	1291385
180502	1267212
183488	1174001
183594	1178060
266009	1171834
270667	1173619
270877	1169474
272063	1173724
272465	1170548
273828	1172641
277063	542282
335627	1484200
342298	1164583
355674	1167770
355707	1505296
355954	646187
368946	1167705
379429	594800
392285	822138
395422	1173003
399834	763291
441964	1170380
449177	645806
449177	1468196
468339	1164210
470479	1174103
480971	1170918
495043	1317066
496070	844235
496279	1167974
496537	1168491
496590	1168305
498332	1171925
531687	1168215
536492	1171545
540123	737452
543576	847417
554767	1166874
555442	1167860
577657	683077
590105	859876
591154	1517360
591583	1166758
593998	1168098
594269	1173244
596584	1207187
603020	1166700
604347	1171562
607153	704395
619891	1170350
629304	1519242
630221	1321213
642707	1168939
644431	1171019
646923	1188835
658363	1168168
660137	1171113
660563	1168239
661437	1186214
662011	1168251
673192	1168077
673201	1167806
687288	732668
733981	1167718
737859	1168415
741431	1175120
770699	1169669
781078	1167506
810248	1170288
826517	1166742
829781	1176524
834248	1191991
835851	858376
837178	1247237
838405	1170872
839071	877682
839084	1167980
846487	1166851
848771	1239888
858213	1168649
862716	1164814
877385	1170294
895468	1524797
897431	1173057
908711	1172675
929718	1170238
936903	1299889
943595	1169428
945317	1170378
946718	1169662
948617	1172683
950938	1169899
981048	1171664
985919	1170086
985939	1170779
988291	1171554
1015306	1185737
1031042	1447263
1062182	1500011
1080584	1191987
1094212	1258452
1113240	1441397
1122263	1314759
1128468	1452522
1151108	1199856
1157399	1510995
1162642	1499324
1162760	1168016
1171336	1500023
1181244	1308101
1258513	1402626
1307765	1433384
1323101	1474916
1324933	1333194
1437139	1488866
