Code region	Libelle region
42	ALSACE
72	AQUITAINE
83	AUVERGNE
84	AUVERGNE RHONE ALPES
25	BASSE NORMANDIE
26	BOURGOGNE
27	BOURGOGNE FRANCHE COMTE
53	BRETAGNE
24	CENTRE
21	CHAMPAGNE ARDENNE
94	CORSE
43	FRANCHE COMTE
44	GRAND EST
1	GUADELOUPE
3	GUYANE
23	HAUTE NORMANDIE
32	HAUTS DE FRANCE
11	ILE DE FRANCE
4	LA REUNION
91	LANGUEDOC ROUSSILLON
74	LIMOUSIN
41	LORRAINE
2	MARTINIQUE
73	MIDI PYRENEES
31	NORD PAS DE CALAIS
28	NORMANDIE
75	NOUVELLE AQUITAINE
76	OCCITANIE
52	PAYS DE LOIRE
22	PICARDIE
54	POITOU CHARENTES
93	PROVENCE ALPES COTE D'AZUR
82	RHONE ALPES
