Row	Id RNE	Nom	Prenom	Attribut	ValAvt	ValApr	Commentaire
333441	671	TANGUY	Hélène	Date de fin de la fonction	1/7/0012	1/7/2012	Typo dans la date
844385	47125	BOYER	Jean-Marc	Date de fin de la fonction	20/10/0017	20/10/2017	Typo dans la date
1143147	80360	SENECHAULT	Jean-Paul	Date de fin de la fonction	22/3/0013	22/3/2013	Typo dans la date
1143919	90614	BRIE	Simon	Date de début de la fonction	25/3/0201	25/3/2001	Typo dans la date
14239	106532	BOLON	André	Date de fin de la fonction	20/9/0014	20/9/2014	Typo dans la date
12819	106573	JANIER	Jacques	Date de fin de la fonction	27/2/0013	27/2/2013	Typo dans la date
152847	147305	MULLOIS	Dominique	Date de fin de la fonction	20/3/0015	20/3/2015	Typo dans la date
750418	152251	MUSELET	Bernard	Date de début de la fonction	16/3/0020	16/3/2001	Typo dans la date
708523	153412	GERARD	Jean-Claude	Date de début de la fonction	13/3/0983	13/03/1983	Typo dans la date
665930	154678	JACQUEL	Denis	Date de fin du mandat	14/10/0201	14/10/2010	Ou est-ce plutôt 2014 ?
560462	157950	ARRETEAU	Paula	Date de fin de la fonction	15/1/0012	15/1/2012	Typo dans la date
1186786	163176	MANG	Jean-Jacques	Date de début de la fonction	16/3/0200	16/3/2001	Typo dans la date
1154380	164229	CHABRIER	Yves	Date de début de la fonction	25/3/0201	25/3/2001	Typo dans la date
1127341	164780	AUPHAN	Philippe	Date de début de la fonction	1/2/3003	1/2/2003	Typo dans la date
1022319	167343	DUBOS	René	Date de début de la fonction	16/3/0201	16/3/2001	Typo dans la date
1018420	167452	DUCROCQ	Christian	Date de début de la fonction	24/3/0201	24/3/2001	Typo dans la date
1016279	167508	MAILLARD	Philippe	Date de début de la fonction	16/3/0200	16/3/2001	Typo dans la date
1013500	167575	NOEL	François-Mary	Date de début de la fonction	17/3/0201	17/3/2001	Typo dans la date
1013579	167578	PLAILLY	Christian	Date de début de la fonction	23/3/0201	23/3/2001	Typo dans la date
877798	171311	DULHOSTE	Jean-Pierre	Date de fin de la fonction	7/7/0016	7/7/2016	Typo dans la date
877376	171319	FARET	Gabriel	Date de fin de la fonction	30/5/0015	30/5/2015	Typo dans la date
872105	171548	BRUN	Jean	Date de fin de la fonction	4/12/0017	4/12/2017	Typo dans la date
557028	469570	RIHOUAY	Gilles	Date de fin de la fonction	24/2/0013	24/2/2013	Typo dans la date
294634	630327	HERNANDEZ	Jean	Date de début de la fonction	6/11/0207	6/11/2017	Typo dans la date
294400	630700	TRIBOULET	Guy	Date de début de la fonction	8/1/0018	23/03/2014	Pas sûr, à voir
140601	738771	LEBOUCHER	Dominique	Date de fin de la fonction	23/5/0014	23/5/2014	Typo dans la date
188569	767803	LAFAURIE	Jacky	Date de fin du mandat	3/5/1938	3/5/2008	Pas sûr du tout, à vérifier
878202	869169	SASTRE	Serge	Date de fin de la fonction	14/3/0014	14/3/2014	Typo dans la date
5891	872810	MACLET	Bernard	Date de fin de la fonction	17/7/0013	17/7/2013	Typo dans la date
9935	875576	MABILLARD	René	Date de fin de la fonction	6/6/0013	6/6/2013	Typo dans la date
57247	887794	BORNET	Pierre	Date de fin de la fonction	10/7/0014	10/7/2014	Typo dans la date
188576	917437	QUEYREAU	Joël	Date de fin du mandat	20/10/0201	20/10/2010	Arbitraire, à vérifier
294393	944908	QUENARDEL	Françoise	Date de début de la fonction	8/1/0018	23/03/2014	Pas sûr, à voir
839819	1068960	BRUT	Eric	Date de fin de la fonction	21/11/0017	21/11/2017	Typo dans la date
873112	1077631	BOUR	Marguerite	Date de fin de la fonction	23/10/0015	23/10/2015	Typo dans la date
872327	1077876	DASTUGUE	Gilbert	Date de fin de la fonction	12/6/0014	12/6/2014	Typo dans la date
879616	1079145	BOSC	Marie-Claude	Date de fin de la fonction	20/7/0012	20/7/2012	Typo dans la date
1162579	1144788	TROUY	Noël	Date de naissance	1/1/1900	27/2/1949	Typo dans la date, et il est en double, cf id 1486017
294373	1277552	DRAY	Bernadette	Date de début de la fonction	8/1/0018	23/03/2014	Pas sûr, à voir
294386	1277554	MOULIN	Geneviève	Date de début de la fonction	8/1/0018	23/03/2014	Pas sûr, à voir
467611	1317870	FAVRE	Aurélie	Date de début de la fonction	28/8/0014	28/8/2014	Typo dans la date
592851	1352560	COCHONNEAU	Virginie	Date de fin du mandat	29/1/0201	29/1/2016	Arbitraire, à vérifier
