Row	Id RNE	Nom	Prenom	Attribut	ValAvt	ValApr	Commentaire
2448	1154458	GIRARDIN	Annick	Libellé de la cir.législative	1ère circonscription	Saint-Pierre-et-Miquelon	Nom changé au cours du temps
2449	790	GRIGNON	Gérard	Libellé de la cir.législative	1ère circonscription	Saint-Pierre-et-Miquelon	Nom changé au cours du temps
315	719	BEAULIEU	Jean-Claude	Date naissance	21/6/1944	24/6/1944	Date de naissance incorrecte (BD Assemblée)
563	47119	PAIX	Bernardette	Prenom elu	Bernardette	Bernadette	Typo dans le prénom (BD Assemblée)
649	92972	FAURE	Martine	Date naissance	30/9/1958	30/9/1948	Date de naissance incorrecte (BD Assemblée)
662	92972	FAURE	Martine	Date naissance	30/9/1958	30/9/1948	Date de naissance incorrecte (BD Assemblée)
969	157418	GOUGET	Jean-Claude	Date naissance	5/12/1942	5/11/1942	Date de naissance incorrecte (BD Assemblée)
314	834248	QUERE	Catherine	ID RNE	834248	1191991	ID incorrect (BD Assemblée)
314	1191991	QUERE	Catherine	Date naissance	12/2/1972	16/3/1948	Date de naissance incorrecte (BD Assemblée)
314	1191991	QUERE	Catherine	Code profession	20	58	Code profession incorrect (BD Assemblée)
314	1191991	QUERE	Catherine	Libelle profession	Employés (secteur privé)	Retraités agricoles	Nom profession incorrect (BD Assemblée)
2239	1192022	HAMMADI	Razzy	Date naissance	22/1/1979	22/2/1979	Date de naissance incorrecte (BD Assemblée)
2243	1192023	POCHON	Elisabeth	Date naissance	19/4/1954	19/4/1955	Date de naissance incorrecte (BD Assemblée)
1128	1372345	JACQUES	Jean-Michel	Date naissance	26/2/1968	29/2/1968	Date de naissance incorrecte (BD Assemblée)
319	1519731	GÉRARD	Raphaël	Date naissance	11/1/1968	17/10/1968	Date de naissance incorrecte (BD Assemblée)
692	1519766	DÉMOULIN	Nicolas	Date naissance	22/7/1979	22/7/1972	Date de naissance incorrecte (BD Assemblée)
1071	1519799	GRANDJEAN	Carole	Date naissance	18/5/1993	18/5/1983	Date de naissance incorrecte (BD Assemblée)
651	77	SAVARY	Gilles	ID RNE	77	NA	Suppression, mandat inexistant (BD Assemblée)
805	1325550	GALASSO	Virginie	ID RNE	1325550	NA	Suppression, non-députée (BD Assemblée)
360	450	SAUVADET	François	Date fin mandat	29/6/2011	29/7/2011	Date de fin incorrecte (BD Assemblée)
891	596	AYRAULT	Jean-Marc	Date debut mandat	10/5/2012	1/5/2014	Date de début incorrecte (BD Assemblée)
#1605	1166801	DUBOIS	Françoise	Date fin mandat	20/6/2012	NA	Corrigé pour fusion ultérieure
1642	168242	MIGNOLA	Patrick	Date fin mandat	20/6/2017	NA	Correction coquille
1642	168242	MIGNOLA	Patrick	Motif fin mandat	AU	NA	Correction coquille
#614	1191972	DOUCET	Sandrine	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#615	1191972	DOUCET	Sandrine	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#635	870071	RECALDE	Marie	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#636	870071	RECALDE	Marie	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#645	162105	FOULON	Yves	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#646	162105	FOULON	Yves	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#653	967790	BOUDIE	Florent	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#654	967790	BOUDIE	Florent	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#787	855722	BARBIER	Jean-Pierre	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#788	855722	BARBIER	Jean-Pierre	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#793	869915	BINET	Erwann	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#794	869915	BINET	Erwann	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#797	25038	BONNETON	Michèle	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#798	25038	BONNETON	Michèle	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1133	352769	FILIPPETTI	Aurélie	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1134	352769	FILIPPETTI	Aurélie	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1140	833	JACQUAT	Denis	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1141	833	JACQUAT	Denis	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1145	834	ZIMMERMANN	Marie-Jo	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1146	834	ZIMMERMANN	Marie-Jo	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1149	835	MARTY	Alain	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1150	835	MARTY	Alain	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1153	836	LETT	Céleste	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1154	836	LETT	Céleste	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1156	833742	KALINOWSKI	Laurent	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
#1157	833742	KALINOWSKI	Laurent	Date debut mandat	20/6/2012	17/6/2012	Corrigé pour fusion ultérieure
#1162	392902	ZANETTI	Paola	Date fin mandat	19/6/2012	NA	Corrigé pour fusion ultérieure
