Row	Id RNE	Nom	Prenom	Attribut	ValAvt	ValApr	Commentaire
1	1180764	BAY	Nicolas	Date fin mandat	NA	25/5/2019	Date manquante
2	151833	BOULLAND	Philippe	Date debut mandat	7/6/2009	14/12/2010	Date incorrecte
3	1441	BRIOIS	Steeve	Date debut mandat	1/7/2014	30/11/2014	Date incorrecte
3	1441	BRIOIS	Steeve	Date fin mandat	NA	25/5/2019	Date incorrecte
4	2553	COTTIGNY	Jean-Louis	Date debut mandat	13/6/2004	17/6/2012	Correction (WP)
5	2553	COTTIGNY	Jean-Louis	Date debut mandat	7/6/2009	12/6/2004	Correction (WP)
5	2553	COTTIGNY	Jean-Louis	Date fin mandat	30/6/2014	6/6/2009	Correction (WP)
6	1177465	DELLI	Karima	Date fin mandat	NA	25/5/2019	Date incorrecte
7	276787	DOUAY	Brigitte	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
12	45873	GODDYN	Sylvie	Date fin mandat	NA	25/5/2019	Date manquante
14	801251	GRUNY	Pascale	Date fin mandat	30/6/2014	13/12/2010	Date incorrecte
17	55	LANG	Carl	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
18	3577	LAVRILLEUX	Jérôme	Date fin mandat	NA	25/5/2019	Date manquante
19	1238241	LECHEVALIER	Christelle	Date fin mandat	NA	25/5/2019	Date manquante
23	831396	LE RACHINEL	Fernand	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
24	7014	LIENEMANN	Marie-Noëlle	Date fin mandat	30/6/2014	6/6/2009	Correction (WP)
26	34076	PARGNEAUX	Gilles	Date fin mandat	NA	25/5/2019	Date manquante
27	836476	PEILLON	Vincent	Date fin mandat	30/6/2014	6/6/2009	Correction (WP)
29	10326	RIQUET	Dominique	Date fin mandat	NA	25/5/2019	Date manquante
32	1048123	SAÏFI	Tokia	Date fin mandat	NA	25/5/2019	Mise à jour (WP)
33	1180761	TROSZCZYNSKI	Mylène	Date fin mandat	NA	25/5/2019	Date manquante
34	328	WEBER	Henri	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
35	233	ARTHUIS	Jean	Date fin mandat	NA	25/5/2019	Date manquante
36	837985	AUBERT	Marie-Hélène	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
37	16394	BECHU	Christophe	Date fin mandat	30/6/2014	1/1/2011	Date incorrecte
38	1373515	BERGERON	Joëlle	Date fin mandat	NA	25/5/2019	Date manquante
40	60370	CADEC	Alain	Date fin mandat	NA	25/5/2019	Date manquante
41	1083	DE VILLIERS	Philippe	Date debut mandat	9/6/2002	13/6/2004	Correction (WP)
42	1083	DE VILLIERS	Philippe	Date debut mandat	7/6/2009	13/6/1999	Correction (WP)
42	1083	DE VILLIERS	Philippe	Date fin mandat	30/6/2014	16/12/1999	Correction (WP)
42	1083	DE VILLIERS	Philippe	Motif fin mandat	NA	DV	Correction (WP)
42	1083	DE VILLIERS	Philippe	Libelle circo euro	OUEST	UNIQUE	Circonscription incorrecte
42	1083	DE VILLIERS	Philippe	Code circo euro	02	00	Circonscription incorrecte
44	4969	GUELLEC	Ambroise	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
46	1177448	JADOT	Yannick	Date fin mandat	NA	25/5/2019	Date manquante
47	989	JOULAUD	Marc	ID RNE	989	NA	Suppression, ligne redondante
48	989	JOULAUD	Marc	Date fin mandat	NA	25/5/2019	Date manquante
50	1451031	LEBRETON	Gilles	Date fin mandat	NA	25/5/2019	Date manquante
51	187526	LE BRUN	Agnès	Date debut mandat	7/6/2009	2/1/2011	Date incorrecte
52	526701	LE FOLL	Stéphane	Date fin mandat	30/6/2014	6/6/2009	Correction (WP)
53	526701	LE FOLL	Stéphane	Date fin mandat	30/6/2014	15/5/2012	Correction (WP)
55	1501522	MAUREL	Emmanuel	Date fin mandat	NA	25/5/2019	Date manquante
56	64	MORILLON	Philippe	Date debut mandat	13/6/1999	13/6/2004	Date incorrecte
56	64	MORILLON	Philippe	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
57	4604	MORIN	Elisabeth	Nom elu	MORIN	MORIN-CHARTIER	Nom incomplet
57	4604	MORIN-CHARTIER	Elisabeth	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
58	4604	MORIN	Elisabeth	Nom elu	MORIN	MORIN-CHARTIER	Nom incomplet
59	4604	MORIN-CHARTIER	Elisabeth	Date fin mandat	NA	25/5/2019	Date manquante
60	71	POIGNANT	Bernard	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
61	559504	THOMAS	Isabelle	Date debut mandat	7/6/2009	16/5/2012	Date incorrecte
62	559504	THOMAS	Isabelle	Date fin mandat	NA	25/5/2019	Date manquante
63	27702	VAUGRENARD	Yannick	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
66	16800	BEAUPUY	Jean-Marie	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
68	1379953	BILDE	Dominique	Date fin mandat	NA	25/5/2019	Date manquante
69	154673	BOURSIER	Catherine	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
71	1177451	DANJEAN	Arnaud	Date fin mandat	NA	25/5/2019	Date manquante
72	24	DAUL	Joseph	Date debut mandat	13/6/1999	13/6/2004	Date incorrecte
72	24	DAUL	Joseph	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
74	41	GOLLNISCH	Bruno	Date debut mandat	13/6/1999	17/6/1989	Date incorrecte
74	41	GOLLNISCH	Bruno	Date fin mandat	30/6/2014	12/6/2004	Date incorrecte
74	41	GOLLNISCH	Bruno	Libelle circo euro	EST	UNIQUE	Circonscription incorrecte
74	41	GOLLNISCH	Bruno	Code circo euro	03	00	Circonscription incorrecte
75	41	GOLLNISCH	Bruno	Date debut mandat	7/6/2009	13/6/2004	Date incorrecte
77	1786	GRIESBECK	Nathalie	Date debut mandat	7/6/2009	9/7/2009	Date incorrecte
78	1786	GRIESBECK	Nathalie	Date fin mandat	NA	25/5/2019	Date manquante
79	16024	HAMON	Benoît	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
81	48	ISLER-BEGUIN	Marie-Anne	Date debut mandat 13/6/1999	13/6/2004	Date incorrecte
81	48	ISLER-BEGUIN	Marie-Anne	Date fin mandat 30/6/2014	6/6/2009	Date incorrecte
82	4679	JALKH	Jean-François	Date fin mandat	NA	25/5/2019	Date manquante
83	1177453	KAHN	Jean-François	Date fin mandat	30/6/2014	8/7/2009	date incorrecte
84	1501524	MARTIN	Edouard	Date fin mandat	NA	25/5/2019	Date manquante
85	62	MATHIEU	Véronique	Date debut mandat 13/6/1999	13/6/2004	Date incorrecte
87	45362	MONTEL	Sophie	Date fin mandat	NA	25/5/2019	Date manquante
88	850	MORANO	Nadine	Date fin mandat	30/6/2014	NA	Correction pour fusion
89	850	MORANO	Nadine	Date fin mandat	NA	25/5/2019	Date manquante
90	1376985	PHILIPPOT	Florian	Date fin mandat	NA	25/5/2019	Date manquante
91	267965	PRIBETICH	Pierre	Date debut mandat	17/6/2007	25/6/2007	Date incorrecte
91	267965	PRIBETICH	Pierre	Date fin mandat	30/6/2014	6/6/2009	Date incorrecte
92	1501525	SANDER	Anne	Date fin mandat	NA	25/5/2019	Date manquante
97	833186	ALLIOT-MARIE	Michèle	Date debut mandat	25/5/2014	18/6/1989	Date incorrecte
97	833186	ALLIOT-MARIE	Michèle	Date fin mandat	30/6/2014	30/3/1993	Date incorrecte
97	833186	ALLIOT-MARIE	Michèle	Libelle circo euro	SUD-OUEST	UNIQUE	Date incorrecte
97	833186	ALLIOT-MARIE	Michèle	Code circo euro	04	00	Date incorrecte
98	833186	ALLIOT-MARIE	Michèle	Date fin mandat	30/6/2014	25/5/2019	Date incorrecte
99	4908	ANDRIEU	Eric	Date debut mandat	7/6/2009	16/5/2012	Date incorrecte
100	4908	ANDRIEU	Eric	Date fin mandat	NA	25/5/2019	Date incorrecte
101	962324	ARIF	Kader	Date fin mandat	30/6/2014	6/6/2009	Correction (WP)
102	962324	ARIF	Kader	Date fin mandat	30/6/2014	15/5/2012	Correction (WP)
