Row	Id RNE	Nom	Prenom	Attribut	ValAvt	ValApr	Commentaire
2	876374	CHAIZE	Patrick	ID RNE	876374	NA	Suppression, mandat inexistant (BD Sénat)
30	275871	MORHET-RICHAUD	Patricia	Date debut mandat	28/12/2014	29/12/2014	Date incorrect
31	175	BALARELLO	José	Date naissance	24/12/1926	25/12/1926	Date de naissance incorrecte
41	46979	LEROY	Henri	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
42	821091	MASSON-MARET	Hélène	Date debut mandat	5/2/2013	7/2/2013	Date de début fausse (BD Sénat)
72	4994	RAINAUD	Marcel	Date debut mandat	5/9/2006	12/8/2006	Date de début fausse (BD Sénat)
75	869934	ESCOFFIER	Anne-Marie	Date debut mandat	21/9/2008	5/5/2014	Date de début fausse (BD Sénat)
79	902109	MAZARS	Stéphane	Date debut mandat	21/9/2008	23/7/2012	Date de début fausse (BD Sénat)
84	1421	BERTRAND	Anne-Marie	Date debut mandat	1/10/2014	23/9/2017	Date de debut fausse (BD Sénat)
114	831411	FERET	Corinne	Date debut mandat	11/6/2015	12/6/2015	Date de debut fausse (BD Sénat)
118	911110	COSTES	Josiane	Date fin mandat	NA	16/11/2018	Mise à jour date de fin (BD Sénat)
118	911110	COSTES	Josiane	Motif fin mandat	NA	AU	Motif manquant
142	91029	PILLET	François	Date fin mandat	NA	3/3/2019	Mise à jour date de fin (BD Sénat)
146	769685	BORDAS	Patricia	Date debut mandat	21/9/2008	14/2/2014	Date de début fausse (BD Sénat)
197	142831	GUILLAUME	Didier	Date fin mandat	NA	16/11/2018	Mise à jour date de fin (BD Sénat)
214	156	CORNU	Gérard	Date fin mandat	NA	30/12/2018	Mise à jour date de fin (BD Sénat)
236	861193	BORIES	Pascale	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
243	164	ROUVIERE	André	Date naissance	22/4/1936	29/04/1936	Date de naissance incorrecte
272	161640	CAZABONNE	Alain	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
276	968485	DELATTRE	Nathalie	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
280	659470	HARRIBEY	Laurence	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
281	971923	LASSARADE	Florence	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
284	150	MADRELLE	Philippe	Date fin mandat	NA	27/8/2019	Mise à jour date de fin (BD Sénat)
290	863212	BRUGUIERE	Marie-Thérèse	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
298	46275	NAVARRO	Robert	Date fin mandat	NA	30/6/2019	Mise à jour date de fin (BD Sénat)
308	558501	LE MENN	Jacky	Date naissance	10/3/1941	17/03/1941	Date de naissance incorrecte
311	160992	TEXIER	Yannick	Date debut mandat	28/9/1998	29/8/2003	Date de debut fausse (BD Sénat)
314	980305	GERBAUD	Frédérique	Date debut mandat	28/9/2014	18/11/2016	Date de début fausse (BD Sénat)
329	98533	RIOCREUX	Stéphanie	Date debut mandat	25/9/2011	8/4/2015	Date de début fausse (BD Sénat)
334	24054	GIRAUD	Eliane	Date debut mandat	10/5/2014	11/5/2014	Date de début fausse (BD Sénat)
364	159074	PRINCE	Jean-Paul	Date debut mandat	1/10/2017	3/11/2017	Date de debut fausse (BD Sénat)
373	158837	LONGERE	Christiane	Date debut mandat	17/4/2010	18/4/2010	Date de debut fausse (BD Sénat)
375	998366	RIVOLLIER	Evelyne	Date debut mandat	25/9/2011	12/12/2016	Date de début fausse (BD Sénat)
478	355631	PANIS	Jacqueline	Date naissance	18/4/1948	16/04/1948	Date de naissance incorrecte
482	153916	LEONARD	Claude	Date debut mandat	29/3/2011	30/3/2011	Date de debut fausse (BD Sénat)
483	153916	LEONARD	Claude	Date debut mandat	25/9/2011	3/11/2011	Date de debut fausse (BD Sénat)
486	240	LONGUET	Gérard	Date debut mandat	25/9/2011	17/6/2012	Date de début fausse (BD Sénat)
499	1185	ABATE	Patrick	Date debut mandat	22/12/2014	23/12/2014	Date de debut fausse (BD Sénat)
538	1179834	ESSAI	Nouvel	Nom elu	ESSAI	DERYCKE	Typo dans le nom (Nouvel ESSAI)
538	1179834	DERYCKE	Nouvel	Prenom elu	Nouvel	Dinah	Typo dans le prénom (Nouvel ESSAI)
538	1179834	DERYCKE	Dinah	Date naissance	31/7/1960	1/4/1946	Typo dans le prénom (Nouvel ESSAI)
538	1179834	DERYCKE	Dinah	Date debut mandat	30/12/2004	3/7/1997	Date de début fausse (Nouvel ESSAI)
538	1179834	DERYCKE	Dinah	Date fin mandat	12/1/2010	19/1/2002	Date de fin fausse (Nouvel ESSAI)
538	1179834	DERYCKE	Dinah	Code sexe	M	F	Sexe incorrect (Nouvel ESSAI)
548	257	LETARD	Valérie	Date debut mandat	14/12/2010	15/12/2010	Date incorrecte
562	377101	BASCHER	Jérôme	Date debut mandat	24/9/2017	26/11/2017	Date de début fausse (BD Sénat)
563	1393501	BOSINO	Jean-Pierre	Date debut mandat	10/5/2014	11/5/2014	Date de début fausse (BD Sénat)
581	912	LENOIR	Jean-Claude	ID RNE	912	NA	Suppression, mandat inexistant (BD Sénat)
598	109825	POHER	Hervé	Date debut mandat	25/9/2011	1/3/2013	Date de debut fausse (BD Sénat)
605	273	VANLERENBERGHE	Jean-Marie	Date debut mandat	28/9/2001	1/10/2011	Date de début fausse (BD Sénat)
621	833176	ESPAGNAC	Frédérique	ID RNE	833176	NA	Suppression, mandat inexistant (BD Sénat)
625	335393	LABAZEE	Georges	ID RNE	335393	NA	uppression, mandat inexistant (BD Sénat)
627	335394	LASSERRE	Jean-Jacques	ID RNE	335394	NA	uppression, mandat inexistant (BD Sénat)
636	76543	PELIEU	Michel	Date debut mandat	15/5/2017	16/5/2017	Date de début fausse (BD Sénat)
647	31997	KELLER	Fabienne	Date fin mandat	NA	23/6/2019	Mise à jour date de fin (BD Sénat)
655	170289	BOCKEL	Jean-Marie	Date fin mandat	30/9/2014	19/7/2007	Date de fin fausse (BD Sénat)
660	290	LORRAIN	Jean-Louis	Date debut mandat	7/3/2010	8/3/2010	Date incorrecte
671	1430028	DEVINAZ	Gilbert Luc	Date fin mandat	NA	3/11/2018	Mise à jour date de fin (BD Sénat)
671	1430028	DEVINAZ	Gilbert Luc	Motif fin mandat	NA	AU	Information manquante
680	295	MERCIER	Michel	Date debut mandat	26/9/2004	17/6/2012	Date de début fausse (BD Sénat)
682	169878	PIGNARD	Jean-Jacques	Date debut mandat	26/9/2004	24/7/2009	Date de début fausse (BD Sénat)
683	169878	PIGNARD	Jean-Jacques	Date debut mandat	22/4/2014	23/4/2014	Date de début fausse (BD Sénat)
684	170050	VULLIEN	Michèle	Date debut mandat	1/10/2014	1/10/2017	Date de début fausse (BD Sénat)
701	1505409	GRELET-CERTENAIS	Nadine	Date debut mandat	1/10/2014	1/10/2017	Date de debut fausse (BD Sénat)
705	377342	REPENTIN	Thierry	Date fin mandat	21/6/2012	22/7/2012	Date de fin fausse (BD Sénat)
706	377342	REPENTIN	Thierry	Date debut mandat	3/5/2014	4/5/2014	Date incorrecte
707	64361	VAIRETTO	André	Date debut mandat	26/9/2004	23/7/2012	Date de début fausse (BD Sénat)
712	309	CARLE	Jean-Claude	Date fin mandat	NA	6/8/2018	Mise à jour date de fin (BD Sénat)
714	1105676	HERVE	Loïc	ID RNE	1105676	NA	uppression, mandat inexistant (BD Sénat)
723	311	BORVO	Nicole	Date debut mandat	26/9/2006	1/10/2004	Date de début fausse (BD Sénat)
745	1180707	LAURENT	PIERRE	Date debut mandat	25/9/2011	20/9/2012	Date de debut fausse (BD Sénat)
758	42704	GAOUYER	Marie-Françoise	Date debut mandat	26/9/2004	2/10/2013	Date de début fausse (BD Sénat)
761	167653	MARIE	Didier	Date debut mandat	26/9/2004	1/1/2014	Date de début fausse (BD Sénat)
767	327	REVET	Charles	Date fin mandat	NA	30/9/2019	Mise à jour date de fin (BD Sénat)
774	538318	BRICQ	Nicole	Date debut mandat	3/5/2014	4/5/2014	Date incorrecte
775	833686	CHAIN-LARCHE	Anne	Date debut mandat	11/10/2015	12/10/2015	Date de début fausse (BD Sénat)
777	525719	CUYPERS	Pierre	Date debut mandat	5/9/2011	1/12/2016	Date de début fausse (BD Sénat)
786	832608	LIPIETZ	Hélène	Date debut mandat	25/9/2011	17/6/2012	Date de début fausse (BD Sénat)
793	166631	BRAYE	Dominique	Date debut mandat	26/12/2004	1/10/2004	Date de début fausse (BD Sénat)
794	185172	CROS	Roselle	Date debut mandat	26/9/2004	23/1/2011	Date de début fausse (BD Sénat)
796	184589	DUCHENE	Marie-Annick	Code sexe	M	F	Sexe incorrect (BD Sénat)
802	336	LARCHER	Gérard	Date debut fonction	25/9/2011	28/9/2014	Date incorrecte
811	338	BECOT	Michel	Date debut mandat	26/4/2004	1/10/2004	Date de début fausse (BD Sénat)
832	164941	FALCO	Hubert	Date fin mandat	30/9/2014	18/4/2008	Date de fin fausse (BD Sénat)
834	306721	GINESTA	Jordi Dit Georges	Date debut mandat	1/10/2014	22/9/2017	Date de début fausse (BD Sénat)
837	1473637	KAUFFMANN	Claudine	Date debut mandat	1/10/2014	1/10/2017	Date de debut fausse (BD Sénat)
838	1133981	LANFRANCHI-DORGAL	Christine	Date debut mandat	1/10/2014	23/9/2017	Date de debut fausse (BD Sénat)
869	362	DE RAINCOURT	Henri	Date debut mandat	18/6/2012	19/6/2012	Date incorrecte
871	870148	LEMOYNE	Jean-Baptiste	Date fin mandat	21/6/2017	22/7/2017	Date de fin fausse (BD Sénat)
872	163563	RAUSCENT	Noëlle	Date debut mandat	22/7/2017	23/7/2017	Date incorrecte
874	163430	VILLIERS	André	Date debut mandat	26/9/2004	24/7/2009	Date de début fausse (BD Sénat)
889	17400	LABARRE	Marie-Agnès	Date debut mandat	26/9/2004	8/1/2010	Date de début fausse (BD Sénat)
894	17500	VERA	Bernard	Date debut mandat	26/9/2004	1/10/2004	Date de début fausse (BD Sénat)
895	17500	VERA	Bernard	Date debut mandat	25/9/2011	12/3/2016	Date de début fausse (BD Sénat)
911	374	KAROUTCHI	Roger	Date fin mandat	28/6/2009	24/6/2007	Date de fin fausse (BD Sénat)
946	1533	DUTHEIL	Laurent	Date debut mandat	28/7/2017	29/7/2017	Date de début fausse (BD Sénat)
966	14194	MALOVRY	Lucienne	Date debut mandat	26/9/2004	2/11/2004	Date de debut fausse (BD Sénat)
998	839355	HOARAU	Gélita	Date debut mandat	25/9/2011	13/11/2016	Date de début fausse (BD Sénat)
1034	1192379	ANGO ELA PAVLOPULOS	Kalliopi	Date debut mandat	25/9/2011	22/7/2012	Date de debut fausse (BD Sénat)
1035	1521471	BANSARD	Jean-Pierre	Date fin mandat	NA	27/7/2018	Mise à jour date de fin (BD Sénat)
1035	1521471	BANSARD	Jean-Pierre	Motif fin mandat	NA	AU	Information manquante
1040	407	CANTEGRIT	Jean-Pierre	ID RNE	407	NA	Suppression, mandat inexistant (BD Sénat)
1043	408	CERISIER BEN GUIGA	Monique	ID RNE	408	NA	uppression, mandat inexistant (BD Sénat)
1044	414	COINTAT	Christian	Date naissance	1/8/1922	11/7/1943	Date de naissance incorrecte
1044	414	COINTAT	Christian	ID RNE	414	NA	Suppression, mandat inexistant (BD Sénat)
1046	1188252	CONWAY-MOURET	Hélène	Date fin mandat	22/7/2012	21/7/2012	Date de fin fausse (BD Sénat)
1047	1188252	CONWAY-MOURET	Hélène	Date debut mandat	25/9/2011	3/5/2014	Date de début fausse (BD Sénat)
1054	411	DUVERNOIS	Louis	ID RNE	411	NA	uppression, mandat inexistant (BD Sénat)
1064	413	GUERRY	Michel	ID RNE	413	NA	uppression, mandat inexistant (BD Sénat)
1065	837970	KAMMERMANN	Christiane	ID RNE	837970	NA	uppression, mandat inexistant (BD Sénat)
1072	1174431	LEPAGE	Claudine	Date naissance	19/8/1949	10/8/1949	Date de naissance incohérente
1074	837971	YUNG	Richard	ID RNE	837971	NA	Suppression, mandat inexistant (BD Sénat)
