Id A	Id B
10565	93015
46842	167808
61025	1170743
63714	1174350
73195	1180959
112547	1169603
116188	1168119
117192	149616
142128	1167404
143228	644495
143976	1185701
156173	1500021
158093	164602
160378	1169702
164586	340722
166201	526318
168298	826164
168643	1187089
170018	1166842
177073	1172962
180502	1267212
272465	1170548
273828	1172641
355707	1505296
368946	1167705
379429	594800
470479	1174103
536492	1171545
554767	1166874
591154	1517360
594269	1173244
604347	1171562
644431	1171019
646923	1188835
660137	1171113
733981	1167718
741431	1175120
770699	1169669
829781	1176524
839071	877682
877385	1170294
943595	1169428
985919	1170086
1062182	1500011
1162760	1168016
1307765	1433384
