"ID universel"	"ID RNE"	"ID Assemblee"	"Nom elu"	"Prenom elu"	"Date naissance"	"Date deces"	"Code sexe"	"Nationalite elu"	"Commune de naissance"	"Departement de naissance"	"Pays de naissance"	"Code profession"	"Libelle profession"
"RNE_0000818"	"818"	"PA1001"	"DAUBRESSE"	"MARC PHILIPPE"	1953-08-01	NA	"M"	"FRANCAISE"	"LILLE"	"NORD"	"FRANCE"	NA	"ANCIENS ARTISANS COMMERCANTS CHEFS D ENTREPRISE"
"ASN_0001002"	NA	"PA1002"	"DAUGE"	"YVES"	1935-01-26	NA	"M"	"FRANCAISE"	"FONTEVRAUD L ABBAYE"	"MAINE ET LOIRE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0092869"	"92869"	"PA1008"	"DAVID"	"ALAIN"	1949-06-02	NA	"M"	"FRANCAISE"	"LIBOURNE"	"GIRONDE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000975"	"975"	"PA1009"	"DAVID"	"MARTINE"	1952-12-19	NA	"F"	"FRANCAISE"	"LOCHES"	"INDRE ET LOIRE"	"FRANCE"	NA	"EMPLOYES ADMINISTRATIFS D ENTREPRISE"
"RNE_0106732"	"106732"	"PA1012"	"DE LA VERPILLIERE"	"CHARLES"	1954-05-31	NA	"M"	"FRANCAISE"	"BOURG EN BRESSE"	"AIN"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001019"	NA	"PA1019"	"DEBRE"	"ISABELLE"	1957-05-23	NA	"F"	"FRANCAISE"	NA	NA	NA	NA	"SANS PROFESSION DECLAREE"
"RNE_0835927"	"835927"	"PA1020"	"DEBRE"	"BERNARD"	1944-09-30	NA	"M"	"FRANCAISE"	"TOULOUSE"	"HAUTE GARONNE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000902"	"902"	"PA1023"	"DECAGNY"	"JEAN CLAUDE"	1939-06-10	NA	"M"	"FRANCAISE"	"MAUBEUGE"	"NORD"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0000742"	"742"	"PA1029"	"DEFLESSELLES"	"BERNARD"	1953-10-16	NA	"M"	"FRANCAISE"	"PARIS 6EME "	"PARIS"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000914"	"914"	"PA1030"	"DEFONTAINE"	"JEAN PIERRE"	1937-02-04	NA	"M"	"FRANCAISE"	"MAMETZ"	"PAS DE CALAIS"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000908"	"908"	"PA1031"	"DEGAUCHY"	"LUCIEN"	1937-06-11	NA	"M"	"FRANCAISE"	"HAUTEFONTAINE"	"OISE"	"FRANCE"	NA	"AGRICULTEURS EXPLOITANTS"
"RNE_0024469"	"24469"	"PA1032"	"DEGUILHEM"	"PASCAL"	1956-02-09	NA	"M"	"FRANCAISE"	"BROUCHAUD"	"DORDOGNE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000903"	"903"	"PA1034"	"DEHOUX"	"MARCEL"	1946-09-04	NA	"M"	"FRANCAISE"	"WIGNEHIES"	"NORD"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"ASN_0001037"	NA	"PA1037"	"DEL PICCHIA"	"ROBERT"	1942-11-10	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0001153"	"1153"	"PA1046"	"DELATTRE"	"FRANCIS"	1946-09-11	NA	"M"	"FRANCAISE"	"NAOURS"	"SOMME"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000828"	"828"	"PA1048"	"DELEBARRE"	"MICHEL"	1946-04-27	NA	"M"	"FRANCAISE"	"BAILLEUL"	"NORD"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001052"	NA	"PA1052"	"DELFAU"	"GERARD"	1937-10-21	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0350060"	"350060"	"PA1058"	"DELL AGNOLA"	"RICHARD"	1949-02-06	NA	"M"	"FRANCAISE"	"RABAT"	NA	"MAROC"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000823"	"823"	"PA1062"	"DELNATTE"	"PATRICK"	1941-12-09	NA	"M"	"FRANCAISE"	"TOURCOING"	"NORD"	"FRANCE"	NA	"COMMERCANTS ET ASSIMILES"
"RNE_0000894"	"894"	"PA1063"	"DELOBEL"	"JEAN"	1933-01-31	2013-05-10	"M"	"FRANCAISE"	"ARMENTIERES"	"NORD"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0161618"	"161618"	"PA1066"	"DELUGA"	"FRANCOIS"	1956-11-18	NA	"M"	"FRANCAISE"	"CAUDERAN"	"GIRONDE"	"FRANCE"	NA	"COMMERCANTS ET ASSIMILES"
"ASN_0001068"	NA	"PA1068"	"DEMANGE"	"JEAN MARIE"	1943-07-23	2008-11-17	"M"	"FRANCAISE"	"TOULOUSE"	"HAUTE GARONNE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001070"	NA	"PA1070"	"DEMERLIAT"	"JEAN PIERRE"	1943-05-08	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001071"	NA	"PA1071"	"DEMESSINE"	"MICHELLE"	1947-06-18	NA	"F"	"FRANCAISE"	NA	NA	NA	NA	NA
"ASN_0001074"	NA	"PA1074"	"DEMUYNCK"	"CHRISTIAN"	1947-07-24	NA	"M"	"FRANCAISE"	"LE PERREUX SUR MARNE"	"VAL DE MARNE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001075"	NA	"PA1075"	"DENEUX"	"MARCEL"	1928-08-16	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000911"	"911"	"PA1079"	"DENIAUD"	"YVES"	1946-09-01	NA	"M"	"FRANCAISE"	"CASABLANCA"	NA	"MAROC"	NA	"CADRES D ENTREPRISE"
"RNE_0000479"	"479"	"PA1085"	"DEPIERRE"	"BERNARD"	1945-06-06	NA	"M"	"FRANCAISE"	"BOURBON LANCY"	"SAONE ET LOIRE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001088"	NA	"PA1088"	"DEPREZ"	"LEONCE"	1927-07-10	2017-07-07	"M"	"FRANCAISE"	"BETHUNE"	"PAS DE CALAIS"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"ASN_0001090"	NA	"PA1090"	"DERIOT"	"GERARD"	1944-11-01	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000816"	"816"	"PA1092"	"DEROSIER"	"BERNARD"	1939-11-10	NA	"M"	"FRANCAISE"	"CHEVILLY"	"LOIRET"	"FRANCE"	NA	"ANCIENS CADRES ET PROFESSIONS INTERMEDIAIRES"
"RNE_0000774"	"774"	"PA1094"	"DESALLANGRE"	"JACQUES"	1935-09-06	2020-01-17	"M"	"FRANCAISE"	"CHALONS EN CHAMPAGNE"	"MARNE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000624"	"624"	"PA1098"	"DESCAMPS"	"JEAN JACQUES"	1935-03-20	NA	"M"	"FRANCAISE"	"LILLE"	"NORD"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"RNE_0000617"	"617"	"PA1116"	"DESTOT"	"MICHEL"	1946-09-02	NA	"M"	"FRANCAISE"	"MALO LES BAINS"	"NORD"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"ASN_0001122"	NA	"PA1122"	"DETRAIGNE"	"YVES"	1954-12-21	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0085407"	"85407"	"PA1124"	"DEVEDJIAN"	"PATRICK"	1944-08-26	NA	"M"	"FRANCAISE"	"FONTAINEBLEAU"	"SEINE ET MARNE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001132"	NA	"PA1132"	"DIEBOLD"	"JEAN"	1939-04-22	2007-08-30	"M"	"FRANCAISE"	"RENNES"	"ILLE ET VILAINE"	"FRANCE"	NA	"CADRES D ENTREPRISE"
"ASN_0001134"	NA	"PA1134"	"DILAIN"	"CLAUDE"	1948-08-12	2015-03-03	"M"	"FRANCAISE"	NA	NA	NA	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"RNE_0000896"	"896"	"PA1141"	"DOLEZ"	"MARC"	1952-10-21	NA	"M"	"FRANCAISE"	"DOUAI"	"NORD"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"ASN_0001142"	NA	"PA1142"	"DOLIGE"	"ERIC"	1943-05-25	NA	"M"	"FRANCAISE"	"PARIS"	"PARIS"	"FRANCE"	NA	"CHEFS D ENTREPRISE DE 10 SALARIES OU PLUS"
"ASN_0001144"	NA	"PA1144"	"DOMEIZEL"	"CLAUDE"	1940-05-16	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0000991"	"991"	"PA1152"	"DORD"	"DOMINIQUE"	1959-09-01	NA	"M"	"FRANCAISE"	"CHAMBERY"	"SAVOIE"	"FRANCE"	NA	NA
"RNE_0154089"	"154089"	"PA1154"	"DOSE"	"FRANCOIS"	1947-10-07	NA	"M"	"FRANCAISE"	"LONGUYON"	"MEURTHE ET MOSELLE"	"FRANCE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
"RNE_0000796"	"796"	"PA1155"	"DOSIERE"	"RENE"	1941-08-03	NA	"M"	"FRANCAISE"	"ORIGNY SAINTE BENOITE"	"AISNE"	"FRANCE"	NA	"PROFESSIONS LIBERALES ET ASSIMILES"
"ASN_0001158"	NA	"PA1158"	"DOUBLET"	"MICHEL"	1939-09-26	NA	"M"	"FRANCAISE"	NA	NA	NA	NA	NA
"RNE_0001111"	"1111"	"PA1165"	"DRAY"	"JULIEN"	1955-03-05	NA	"M"	"FRANCAISE"	"ORAN"	NA	"ALGERIE"	NA	"CADRES DE LA FONCTION PUBLIQUE PROFESSIONS INTELLECTUELLES ET ARTISTIQUES"
