Id Assemblee	ValAvt	ValApr
PA605830	BOUZIANE LAROUSSI	BOUZIANE
PA267549	BURCKHART VANDEVELDE	CHAPUSOT
PA719756	CLOAREC LE NABOUR	CLOAREC
PA722236	DJEBBARI	DJEBBARI BONNET
PA343623	GROMMERCH	GROMMERCH BRANDENBURGER
PA721012	KECLARD MONDESIR	MONDESIR KECLARD
PA267042	FAVENNEC BECOT	FAVENNEC
PA719858	LIMON	LIMON CHARPENAY
PA337442	MARC	MATHIASIN MARC
PA267314	PAVY	PAVY MORANCAIS
PA333352	ROSSO DEBORD	DEBORD
PA720394	TRISSE	GRIES TRISSE
PA718728	VANCEUNEBROCK	VANCEUNEBROCK MIALON
PA267797	VAUTRIN	VAUTRIN PENNAFORTE
PA266763	VERNAUDON	VERNAUDON COPPENRATH
