ID Assemblee	Date debut mandat	Date fin mandat	Attribut	ValAvt	ValApr	Commentaire
PA227	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	1997-07-05	Date incorrecte
PA227	1997-07-05	2012-06-19	Date fin mandat	2012-06-19	2002-06-18	Date incorrecte
PA324	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2012-05-20	Date incorrecte
PA328	2012-06-20	2016-03-11	Date debut mandat	2012-06-20	2014-05-01	Date incorrecte
PA369	2007-06-20	2012-06-19	ID Assemblee	PA369	NA	Suppression ligne superflue
PA594	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2011-07-30	Date incorrecte
PA823	2002-06-19	2007-06-19	Date debut mandat	2002-06-19	2007-03-05	Date incorrecte
PA877	2012-06-27	2016-09-26	Date fin mandat	2016-09-26	2017-06-20	Fonction incorrectement divisée
PA877	2016-09-27	2017-06-20	ID Assemblee	PA877	NA	Suppression ligne superflue (cf. ci-dessus)
PA1001	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2010-12-15	Date incorrecte
PA1023	2002-12-15	2007-06-19	Date debut mandat	2002-12-15	2002-06-16	Date incorrecte
PA1221	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2010-12-16	Date incorrecte
PA1224	2002-06-19	2007-06-19	Date debut mandat	2002-06-19	2004-01-14	Date incorrecte
PA1263	2008-05-25	2012-06-19	Date debut mandat	2008-05-25	2010-12-14	Date incorrecte
PA1355	2005-03-13	2007-06-19	Date debut mandat	2005-03-13	2005-07-03	Date incorrecte
PA1567	2007-06-20	2012-06-19	ID Assemblee	PA1567	NA	Suppression ligne superflue
PA1790	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2012-05-11	Date incorrecte
PA1886	2012-06-20	2017-06-20	Date debut mandat	2012-06-20	2017-04-22	Date incorrecte
PA1946	2007-06-20	2012-06-19	ID Assemblee	PA1946	NA	Suppression ligne superflue
PA1960	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2012-05-11	Date incorrecte
PA2073	2007-06-20	2012-06-19	ID Assemblee	PA2073	NA	Suppression ligne superflue
PA2155	2002-06-19	2007-06-19	Date debut mandat	2002-06-19	2005-07-02	Date incorrecte
PA2155	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2010-04-24	Date incorrecte
PA2240	2012-06-20	2014-10-31	Date debut mandat	2012-06-20	2014-05-03	Date incorrecte
PA2621	2007-06-20	2012-06-16	Date debut mandat	2007-06-20	2011-07-30	Date incorrecte
PA2664	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2011-05-06	Date incorrecte
PA2843	2007-06-20	2012-06-19	Date debut mandat	2007-06-20	2011-06-30	Date incorrecte
PA266863	2007-06-20	2012-06-19	ID Assemblee	PA266863	NA	Suppression ligne superflue
