ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA1001	M.	Marc-Philippe	Daubresse	1953-08-01		Lille	Nord	France	Ancien directeur d'une société de recrutement	Anciens artisans, commerçants, chefs d'entreprise	Retraités
PA1002	M.	Yves	Dauge	1935-01-26		Fontevraud-l'Abbaye	Maine-et-Loire		Inspecteur général de l'équipement	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1008	M.	Alain	David	1949-06-02		Libourne	Gironde	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1009	Mme	Martine	David	1952-12-19		Loches	Indre-et-Loire		Secrétaire de direction	Employés administratifs d'entreprise	Employés
PA1012	M.	Charles	de la Verpillière	1954-05-31		Bourg-en-Bresse	Ain	France	Conseiller d'État	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1019	Mme	Isabelle	Debré	1957-05-23						Sans profession déclarée	Sans profession déclarée
PA1020	M.	Bernard	Debré	1944-09-30		Toulouse	Haute-Garonne		Chirurgien des hôpitaux, professeur des Universités	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1023	M.	Jean-Claude	Decagny	1939-06-10		Maubeuge	Nord		Ancien directeur de l'hôpital de Felleries-Liessies	Anciens cadres et professions intermédiaires	Retraités
PA1029	M.	Bernard	Deflesselles	1953-10-16		Paris 6ème 	Paris	France	Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1030	M.	Jean-Pierre	Defontaine	1937-02-04		Mametz	Pas-de-Calais		Directeur commercial	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA1031	M.	Lucien	Degauchy	1937-06-11		Hautefontaine	Oise	France	Horticulteur	Agriculteurs exploitants	Agriculteurs exploitants
PA1032	M.	Pascal	Deguilhem	1956-02-09		Brouchaud	Dordogne		Professeur d'Education physique (Université Bordeaux IV)	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1034	M.	Marcel	Dehoux	1946-09-04		Wignehies	Nord		Retraité de l'Education nationale	Anciens cadres et professions intermédiaires	Retraités
PA1037	M.	Robert	del Picchia	1942-11-10							
PA1046	M.	Francis	Delattre	1946-09-11		Naours	Somme		Attaché principal d'administration centrale	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1048	M.	Michel	Delebarre	1946-04-27		Bailleul	Nord	France	Préfet	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1052	M.	Gérard	Delfau	1937-10-21							
PA1058	M.	Richard	Dell'Agnola	1949-02-06		Rabat		Maroc	Attaché principal d'administration au ministère de la justice	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA1062	M.	Patrick	Delnatte	1941-12-09		Tourcoing	Nord		Négociant en matériaux de construction	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1063	M.	Jean	Delobel	1933-01-31	2013-05-10	Armentières	Nord		Enseignant retraité	Anciens cadres et professions intermédiaires	Retraités
PA1066	M.	François	Deluga	1956-11-18		Cauderan	Gironde		Agent général d'assurances	Commerçants et assimilés	Artisans, commerçants et chefs d'entreprise
PA1068	M.	Jean-Marie	Demange	1943-07-23	2008-11-17	Toulouse	Haute-Garonne		Médecin	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA1070	M.	Jean-Pierre	Demerliat	1943-05-08							
PA1071	Mme	Michelle	Demessine	1947-06-18							
PA1074	M.	Christian	Demuynck	1947-07-24		Le Perreux-Sur-Marne	Val-de-Marne		Professeur d'éducation physique et sportive	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
