ValAvt	ValApr
AGRICULTEURS EXPLOITANTS	AGRICULTEURS PROPRIETAIRES EXPLOIT
ANCIENS AGRICULTEURS EXPLOITANTS	RETRAITES AGRICOLES
ANCIENS ARTISANS COMMERCANTS CHEFS D ENTREPRISE	RETR ARTIS COMMERC CHEFS D ENTREP
ANCIENS CADRES	RETRAITES SALARIES PRIVES
ANCIENS CADRES ET PROFESSIONS LIBERALES	RETRAITES DES PROFESSIONS LIBERALES
ANCIENS PROFESSIONS INTERMEDIAIRES	RETRAITES SALARIES PRIVES
ARTISANS	ARTISANS
ARTISANS COMMERCANTS ET CHEFS D ENTREPRISE	COMMERCANTS
AUTRES PERSONNES SANS ACTIVITE PROFESSIONNELLE	SANS PROFESSION DECLAREE
AVOCATS	AVOCATS
CADRES ADMINISTRATIFS ET COMMERCIAUX D ENTREPRISE	AUTRES CADRES SECTEUR PRIVE
CADRES D ENTREPRISE	CADRES SUPERIEURS SECTEUR PRIVE
CADRES DE LA FONCTION PUBLIQUE	CADRES ENTREPRISES PUBLIQUES
CADRES DE LA PUBLICITE CADRES DES RELATIONS PUBLIQUES	AUTRES CADRES SECTEUR PRIVE
CADRES ET PROFESSIONS INTELLECTUELLES SUPERIEURES	AUTRES CADRES SECTEUR PRIVE
CHEFS D ENTREPRISE DE 1 SALARIES OU PLUS	ADMINISTRATEURS DE SOCIETES
CHIRURGIENS DENTISTES LIBERAUX OU SALARIES	CHIRURGIENS
CLERGE RELIGIEUX	MINISTRES DU CULTE
COMMERCANTS ET ASSIMILES	COMMERCANTS
CONTREMAITRE ET AGENTS DE MAITRISE	CONTREMAITRES
EMPLOYES ADMINISTRATIFS D ENTREPRISE	EMPLOYES SECTEUR PRIVE
EMPLOYES CIVILS ET AGENTS DE SERVICE DE LA FONCTION PUBLIQUE	AGENTS SUBALTERNES ENTR PUBLIQUES
EMPLOYES DE COMMERCE	REPRESENTANTS DE COMMERCE
HUISSIERS DE JUSTICE OFFICIERS MINISTERIELS ET PROFESSIONS LIBERALES DIVERS	HUISSIERS
INGENIEURS ET CADRES TECHNIQUES D ENTREPRISE	INGENIEURS
INSTITUTEURS ET ASSIMILES	ENSEIGNANTS 1ER DEG DIRECTEURS ECOLE
JOURNALISTES SECRETAIRES DE REDACTION	JOURNALISTES ET AUTRES MEDIAS
MAGISTRATS	MAGISTRATS
MEDECINS HOSPITALIERS SANS ACTIVITE LIBERALE	MEDECINS
MEDECINS LIBERAUX GENERALISTES	MEDECINS
OUVRIERS	OUVRIERS SECTEUR PRIVE
OUVRIERS QUALIFIES DE TYPE INDUSTRIEL	AGENTS TECHNIQUE ET TECHNICIENS
PERSONNELS DE DIRECTION DE LA FONCTION PUBLIQUE	CADRES SUP ENTREPRISES PUBLIQUES
PERSONNES DIVERSES SANS ACTIVITE PROFESSIONNELLE DE MOINS DE 6 ANS SAUF RETRAITES	SANS PROFESSION DECLAREE 
PHARMACIENS LIBERAUX	PHARMACIENS
POLICIERS ET MILITAIRES	AUTRES PROFESSIONS
PROFESSEURS PROFESSIONS SCIENTIFIQUES	PROFESSEURS DE FACULTE
PROFESSIONS DE L INFORMATION DES ARTS ET SPECTACLES	HOMMES DE LETTRES ET ARTISTES
PROFESSIONS INTERMEDIAIRES ADMINISTRATIVES DE LA FONCTION PUBLIQUE	EMPLOYES AUTRES ENTREP PUBLIQUES
PROFESSIONS INTERMEDIAIRES ADMINISTRATIVES ET COMMERCIALES D ENTREPRISE	AUTRES CADRES SECTEUR PRIVE
PROFESSIONS INTERMEDIAIRES DE LA SANTE ET DU TRAVAIL SOCIAL	SALARIES DU SECTEUR MEDICAL
PROFESSIONS LIBERALES	AUTRES PROFESSIONS LIBERALES
RETRAITES	AUTRES RETRAITES
TECHNICIENS	AGENTS TECHNIQUE ET TECHNICIENS
VETERINAIRES LIBERAUX OU SALARIES	VETERINAIRES
