Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
83008P	M.	Abadie	François	ANCIEN	43824		02/07/1981		23/07/1981		42420	02/07/1981		23/07/1981		Député
59213C	M.	Alduy	Paul	ANCIEN	9673			1956		1958	3150		1956		1958	Député
01065W	M.	Alfonsi	Nicolas	ANCIEN	43867		02/04/1973		01/04/1978		42463	02/04/1973		01/04/1978		Député
01065W	M.	Alfonsi	Nicolas	ANCIEN	43868		02/07/1981		01/04/1986		42464	02/07/1981		01/04/1986		Député
01065W	M.	Alfonsi	Nicolas	ANCIEN	43869		02/04/1986		14/05/1988		42465	02/04/1986		14/05/1988		Député
04087R	Mme	Alquier	Jacqueline	ANCIEN	43886		23/05/1985		01/04/1986		42482	23/05/1985		01/04/1986		Député
04087R	Mme	Alquier	Jacqueline	ANCIEN	43887		13/06/1988		01/04/1993		42483	13/06/1988		01/04/1993		Député
97009N	M.	Angels	Bernard	ANCIEN	43922		17/06/1991		01/04/1993		42518	17/06/1991		01/04/1993		Député
59520L	M.	Arreckx	Maurice	ANCIEN	43944		03/04/1978		22/05/1981		42540	03/04/1978		22/05/1981		Député
59520L	M.	Arreckx	Maurice	ANCIEN	43945		02/04/1986		30/09/1986		42541	02/04/1986		30/09/1986		Député
83012K	M.	Autain	François	ANCIEN	44017		02/07/1981		23/07/1981		42613	02/07/1981		23/07/1981		Député
00001A	M.	Autexier	Jean-Yves	ANCIEN	44018		29/07/1988		01/04/1993		42614	29/07/1988		01/04/1993		Député
00001A	M.	Autexier	Jean-Yves	ANCIEN	44019		17/06/2012		19/06/2012		42615	17/06/2012		19/06/2012		Député
01046T	M.	Barbier	Gilbert	ANCIEN	44103		03/04/1978		22/05/1981		42699	03/04/1978		22/05/1981		Député
01046T	M.	Barbier	Gilbert	ANCIEN	44104		02/04/1986		14/05/1988		42700	02/04/1986		14/05/1988		Député
01046T	M.	Barbier	Gilbert	ANCIEN	44105		02/04/1993		21/04/1997		42701	02/04/1993		21/04/1997		Député
95008D	M.	Barnier	Michel	ANCIEN	44119		02/07/1981		01/04/1986		42715	02/07/1981		01/04/1986		Député
95008D	M.	Barnier	Michel	ANCIEN	44120		03/04/1978		22/05/1981		42716	03/04/1978		22/05/1981		Député
95008D	M.	Barnier	Michel	ANCIEN	44121		02/04/1986		14/05/1988		42717	02/04/1986		14/05/1988		Député
95008D	M.	Barnier	Michel	ANCIEN	44122		06/06/1988		01/04/1993		42718	06/06/1988		01/04/1993		Député
