Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
83008P	M.	Abadie	François	ANCIEN	19/06/1930	02/03/2001	RDSE		commission de la culture	Hautes-Pyrénées		Non public	Cadres d'entreprise	Salariés (Cadres divers)	Directeur commercial
14263U	M.	Abate	Patrick	ANCIEN	28/12/1956		CRCE		commission de la culture	Moselle		p.abate@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur
57316A	M.	Abdellatif	Mohamed	ANCIEN	23/08/1918	02/12/1998	RI		commission de la culture	Tizi-Ouzou			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Propriétaire agriculteur
95004Y	M.	About	Nicolas	ANCIEN	14/07/1947		UC		commission des affaires sociales	Yvelines		n.about@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000346	M.	Achour	Youssef	ANCIEN	07/09/1914	15/12/1992	G.D.		commission des lois	Alger			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Sous-préfet
08008S	M.	Ackermann	Yves	ANCIEN	01/06/1949		SOCR		Aucune (Président du Sénat)	Territoire de Belfort			Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Juriste
89017R	M.	Adnot	Philippe	ACTIF	25/08/1945		NI		commission des finances	Aube		p.adnot@senat.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
000448	M.	Agarande	Henri	ANCIEN	13/09/1920	06/08/1983	SOCR	Apparenté	commission de la culture	Guyane			Anciens cadres	Enseignement (Retraités)	Ancien directeur de collège
000425	M.	Ahmed	Abdallah Abderamane	ANCIEN	12/06/1919	26/11/1989	NI		commission de la culture	Comores			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
11076S	Mme	Aïchi	Leila	ANCIEN	14/05/1970		UC		commission des affaires étrangères	Paris		l.aichi@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Avocats)	Avocate
000260	M.	Al Sid Cheikh	Cheikh	ANCIEN	25/11/1910	01/05/1993	U.N.R.	Apparenté	commission de la culture	Saoura			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Caïd des affaires civiles
58343H	Mme	Alduy	Jacqueline	ANCIEN	20/03/1924	15/03/2016	NI		commission de la culture	Pyrénées-Orientales			Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession
01006K	M.	Alduy	Jean-Paul	ANCIEN	07/05/1942		Les Républicains		commission des finances	Pyrénées-Orientales		jp.alduy@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Ingénieur général des ponts et chaussées
59213C	M.	Alduy	Paul	ANCIEN	04/10/1914	23/01/2006	UC	Rattaché	commission des affaires étrangères	Pyrénées-Orientales			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ancien conseiller d'ambassade - Préfet honoraire
57773X	Mme	Alexandre Debray	Janine	ANCIEN	03/05/1910	19/10/2000	RI		commission des affaires étrangères	Paris			Cadres d'entreprise	Salariés (Cadres divers)	Directrice de centre culturel
01065W	M.	Alfonsi	Nicolas	ANCIEN	13/04/1936		RDSE		commission des lois	Corse-du-Sud			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000087	M.	Allies	Charles	ANCIEN	19/09/1903	11/11/1988	SOCR		commission des finances	Hérault			Instituteurs et assimilés	Enseignement secondaire	Directeur de collège technique
14133K	M.	Allizard	Pascal	ACTIF	19/12/1962		Les Républicains		commission des affaires étrangères	Calvados		p.allizard@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Assistant parlementaire
80002U	M.	Alloncle	Michel	ANCIEN	07/10/1928	23/04/2003	RPR		commission des affaires étrangères	Charente			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
83010H	M.	Allouche	Guy	ANCIEN	27/10/1939		SOCR		commission des lois	Nord	Vice-président du Sénat	Non public	Instituteurs et assimilés	Enseignement primaire	Conseiller pédagogique en éducation physique et sportive
04087R	Mme	Alquier	Jacqueline	ANCIEN	29/07/1947		SOCR		commission des affaires sociales	Tarn		j.alquier@senat.fr	Employés administratifs d'entreprise	Salariés (Employés)	Secrétaire comptable
000724	M.	Alric	Gustave	ANCIEN	15/02/1894	17/10/1967	RI		commission des finances	Aube			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur des arts et manufactures
92006N	M.	Althapé	Louis	ANCIEN	06/11/1947		RPR		commission de l'économie	Pyrénées-Atlantiques		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérant de société
59214D	M.	Amelin	Jean	ANCIEN	28/05/1927	08/03/2012	RPR		commission de l'économie	Marne	Secrétaire du Sénat		Chirurgiens-dentistes (libéraux ou salariés)	Professions médicales (Dentistes)	Chirurgien dentiste
57716N	M.	Amic	Auguste	ANCIEN	11/09/1921	14/08/2006	SOCR		commission des finances	Var			Professions libérales	Professions judiciaires et libérales (Divers)	Conseiller juridique
14239U	M.	Amiel	Michel	ACTIF	03/07/1954		LaREM		commission des affaires sociales	Bouches-du-Rhône		m.amiel@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
95005A	M.	Amoudry	Jean-Paul	ANCIEN	30/03/1950		UC		commission des affaires sociales	Haute-Savoie		jp.amoudry@senat.fr	Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur territorial
000689	M.	Andre	Louis	ANCIEN	06/01/1891	24/07/1978	RI		commission de l'économie	Calvados			Agriculteurs exploitants	Professions agricoles	Agriculteur
01031L	Mme	André	Michèle	ANCIEN	06/02/1947		SOCR		commission des finances	Puy-de-Dôme		m.andre@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Directrice d'établissement médico-social public
98036V	M.	André	Pierre	ANCIEN	29/06/1947		Les Républicains		commission des affaires étrangères	Aisne		p.andre@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Directeur général de CCI
08040S	M.	Andreoni	Serge	ANCIEN	15/03/1940		SOCR		commission de la culture	Bouches-du-Rhône		s.andreoni@senat.fr	Médecins hospitaliers (sans activité libérale)	Professions médicales (Médecins)	Médecin du travail
000376	M.	Andrieux	Antoine	ANCIEN	30/08/1916	10/05/1983	SOCR		commission des affaires étrangères	Bouches-du-Rhône			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
97009N	M.	Angels	Bernard	ANCIEN	18/09/1944		SOCR		commission des finances	Val-d'Oise		b.angels@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Principal de collège
000465	Mme	Anglade	Magdeleine	ANCIEN	05/07/1921	25/03/1998	RPR		commission de la culture	Paris			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
12040W	Mme	Ango Ela	Kalliopi	ANCIEN	24/09/1962		Écologiste		commission des affaires étrangères	Français établis hors de France		k.ango-ela@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeure agrégée de géographie
11109J	M.	Antiste	Maurice	ACTIF	22/06/1953		SOCR		commission de la culture	Martinique		m.antiste@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Retraités)	Professeur de lettres
08072B	M.	Antoinette	Jean-Étienne	ANCIEN	29/01/1966		SOCR	Apparenté	commission de la culture	Guyane		je.antoinette@senat.fr	Professeurs, professions scientifiques	Enseignement (Divers)	Formateur
08025T	M.	Anziani	Alain	ANCIEN	30/05/1951		SOCR		commission des lois	Gironde		a.anziani@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19760E	Mme	Apourceau-Poly	Cathy	ACTIF	18/04/1965		CRCE		commission des affaires sociales	Pas-de-Calais		c.apourceau-poly@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Attachée territoriale
11055M	Mme	Archimbaud	Aline	ANCIEN	02/11/1948		NI		commission des affaires sociales	Seine-Saint-Denis		a.archimbaud@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Enseignante
000037	M.	Armengaud	André	ANCIEN	10/01/1901	11/03/1974	RI		commission des finances	Français établis hors de France			Professions libérales	Professions judiciaires et libérales (Divers)	Ingénieur-conseil
96008H	M.	Arnaud	Philippe	ANCIEN	01/02/1949	16/09/2018	UC		commission des lois	Charente	Secrétaire du Sénat	p.arnaud@senat.fr	Agriculteurs exploitants	Professions agricoles	Chef d'exploitation agricole
14261S	M.	Arnell	Guillaume	ACTIF	20/01/1958		RDSE		commission des affaires sociales	Saint-Martin		g.arnell@senat.fr	Cadres de la fonction publique	Professions médicales (Autres)	Cadre administratif
59520L	M.	Arreckx	Maurice	ANCIEN	13/12/1917	21/03/2001	RI		commission de la culture	Var			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
