Matricule	Id appartenance	Id fonction occupée	Nom	Prénom	Code du groupe politique	Nom court du groupe politique	Date de début d'appartenance	Date de fin d'appartenance	Nom court fonction	Date de début de la fonction	Date de fin de la fonction
83008P	208	208	Abadie	François	RDSE	Groupe du RDSE		02/03/2001	Membre		02/03/2001
14263U	2623	2974	Abate	Patrick	CRC	Groupe CRCE	22/12/2014	17/06/2017	Membre	22/12/2014	17/06/2017
57316A	918	1178	Abdellatif	Mohamed	RI	Groupe des RI		04/07/1962	Membre		04/07/1962
95004Y	636	632	About	Nicolas	RI	Groupe des RI	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
95004Y	797	793	About	Nicolas	UMP	Groupe Les Républicains	11/12/2002	01/08/2003	Membre	11/12/2002	01/08/2003
95004Y	1626	1888	About	Nicolas	UC	Groupe Union Centriste	02/08/2003	23/01/2011	Membre	02/08/2003	06/07/2009
95004Y	1626	2356	About	Nicolas	UC	Groupe Union Centriste	02/08/2003	23/01/2011	Président	07/07/2009	23/01/2011
95004Y	289	289	About	Nicolas	RI	Groupe des RI		01/10/2001	Membre		01/10/2001
000346	919	1179	Achour	Youssef	GD	Gauche Démocratique		04/07/1962	Membre		04/07/1962
08008S	1889	2173	Ackermann	Yves	NI	Réunion administrative des non-inscrits	08/09/2008	10/09/2008	Membre	08/09/2008	10/09/2008
08008S	1890	2174	Ackermann	Yves	SOC	Groupe socialiste et républicain	11/09/2008	30/09/2008	Membre	11/09/2008	30/09/2008
89017R	19	424	Adnot	Philippe	NI	Réunion administrative des non-inscrits			Délégué	05/10/1998	
89017R	19	19	Adnot	Philippe	NI	Réunion administrative des non-inscrits			Membre		04/10/1998
000448	920	1180	Agarande	Henri	SOC	Groupe socialiste et républicain		01/10/1980	Membre		01/10/1980
000425	917	1177	Ahmed	Abdallah Abderamane	NI	Réunion administrative des non-inscrits		09/01/1973	Membre		09/01/1973
11076S	2292	2566	Aïchi	Leila	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11076S	2346	2667	Aïchi	Leila	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11076S	2719	3102	Aïchi	Leila	NI	Réunion administrative des non-inscrits	30/06/2017	03/07/2017	Membre	30/06/2017	03/07/2017
11076S	2727	3120	Aïchi	Leila	UC	Groupe Union Centriste	04/07/2017	01/10/2017	Membre	04/07/2017	01/10/2017
59533R	921	1181	D'Aillieres	Michel	RI	Groupe des RI		01/10/1995	Membre		01/10/1995
000260	1597	1857	Al Sid Cheikh	Cheikh	UNR	Union pour la Nouvelle République		04/07/1962	Membre		04/07/1962
01006K	513	512	Alduy	Jean-Paul	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01006K	572	571	Alduy	Jean-Paul	UC	Groupe Union Centriste	02/10/2001	10/12/2002	Membre	02/10/2001	10/12/2002
01006K	829	825	Alduy	Jean-Paul	UMP	Groupe Les Républicains	11/12/2002	30/09/2011	Membre	11/12/2002	30/09/2011
58343H	922	1182	Alduy	Jacqueline	NI	Réunion administrative des non-inscrits		02/10/1983	Membre		02/10/1983
59213C	1565	1825	Alduy	Paul	UC	Groupe Union Centriste		01/10/1992	Membre		01/10/1992
57773X	923	1183	Alexandre Debray	Janine	RI	Groupe des RI		02/10/1977	Membre		02/10/1977
01065W	642	639	Alfonsi	Nicolas	NI	Réunion administrative des non-inscrits	02/12/2001	04/12/2001	Membre	02/12/2001	04/12/2001
01065W	643	640	Alfonsi	Nicolas	RDSE	Groupe du RDSE	04/12/2001	30/09/2014	Membre	04/12/2001	30/09/2014
000087	924	1184	Allies	Charles	SOC	Groupe socialiste et républicain		01/10/1980	Membre		01/10/1980
14133K	2450	2768	Allizard	Pascal	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14133K	2527	2859	Allizard	Pascal	UMP	Groupe Les Républicains	07/10/2014		Membre	07/10/2014	
80002U	38	38	Alloncle	Michel	RPR	Groupe du RPR		30/09/1998	Membre		30/09/1998
83010H	177	177	Allouche	Guy	SOC	Groupe socialiste et républicain		30/09/2001	Membre		30/09/2001
04087R	2353	2674	Alquier	Jacqueline	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2004	04/10/2004	Membre	01/10/2004	04/10/2004
04087R	1723	1985	Alquier	Jacqueline	SOC	Groupe socialiste et républicain	05/10/2004	30/09/2014	Membre	05/10/2004	30/09/2014
000724	1464	1724	Alric	Gustave	RI	Groupe des RI		17/10/1967	Membre		17/10/1967
92006N	205	205	Althapé	Louis	RPR	Groupe du RPR		30/09/2001	Membre		30/09/2001
59214D	925	1185	Amelin	Jean	RPR	Groupe du RPR		01/10/1992	Membre		01/10/1992
57716N	926	1186	Amic	Auguste	SOC	Groupe socialiste et républicain		02/10/1977	Membre		02/10/1977
14239U	2490	2808	Amiel	Michel	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
14239U	2606	2956	Amiel	Michel	NI	Réunion administrative des non-inscrits	07/10/2014	14/07/2015	Membre	07/10/2014	14/07/2015
14239U	2650	3011	Amiel	Michel	RDSE	Groupe du RDSE	15/07/2015	27/06/2017	Membre	15/07/2015	27/06/2017
14239U	2692	3074	Amiel	Michel	LREM	Groupe La République En Marche	28/06/2017		Membre	28/06/2017	28/06/2017
14239U	2692	3119	Amiel	Michel	LREM	Groupe La République En Marche	28/06/2017		Membre	30/06/2017	
95005A	237	237	Amoudry	Jean-Paul	UC	Groupe Union Centriste	02/10/1995	30/09/2014	Membre	02/10/1995	30/09/2014
59215E	927	1187	D'Andigne	Hubert	RPR	Groupe du RPR		01/10/1992	Membre		01/10/1992
000689	1465	1725	Andre	Louis	RI	Groupe des RI		01/10/1971	Membre		01/10/1971
01031L	538	537	André	Michèle	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2001	01/10/2001	Membre	01/10/2001	01/10/2001
01031L	573	572	André	Michèle	SOC	Groupe socialiste et républicain	02/10/2001	01/10/2017	Membre	02/10/2001	01/10/2017
98036V	354	357	André	Pierre	RPR	Groupe du RPR	01/10/1998	10/12/2002	Membre	01/10/1998	10/12/2002
98036V	725	721	André	Pierre	UMP	Groupe Les Républicains	11/12/2002	30/09/2014	Membre	11/12/2002	30/09/2014
08040S	1960	2235	Andreoni	Serge	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
000376	1430	1690	Andrieux	Antoine	SOC	Groupe socialiste et républicain		10/05/1983	Membre		10/05/1983
97009N	269	269	Angels	Bernard	SOC	Groupe socialiste et républicain		30/09/2011	Membre		30/09/2011
000465	928	1188	Anglade	Magdeleine	RPR	Groupe du RPR		24/09/1995	Membre		24/09/1995
12040W	2382	2703	Ango Ela	Kalliopi	ECO	Groupe écologiste	22/07/2012	04/05/2014	Membre	22/07/2012	04/05/2014
11109J	2216	2490	Antiste	Maurice	SOC	Groupe socialiste et républicain	01/10/2011		Membre	01/10/2011	09/06/2015
11109J	2216	2997	Antiste	Maurice	SOC	Groupe socialiste et républicain	01/10/2011		Membre	10/06/2015	
08072B	2002	2273	Antoinette	Jean-Étienne	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2014	Membre	01/10/2008	30/09/2014
08025T	1909	2193	Anziani	Alain	SOC	Groupe socialiste et républicain	01/10/2008	30/09/2017	Membre	01/10/2008	30/09/2017
19760E	3004	3413	Apourceau-Poly	Cathy	AUCUN	Sénateurs n'appartenant à aucun groupe	01/07/2018	01/07/2018	Membre	01/07/2018	01/07/2018
19760E	3006	3415	Apourceau-Poly	Cathy	CRC	Groupe CRCE	02/07/2018		Membre	02/07/2018	
11055M	2299	2573	Archimbaud	Aline	SOC	Groupe socialiste et républicain	01/10/2011	10/01/2012	Membre	01/10/2011	10/01/2012
11055M	2348	2669	Archimbaud	Aline	ECO	Groupe écologiste	11/01/2012	29/06/2017	Membre	11/01/2012	29/06/2017
11055M	2720	3103	Archimbaud	Aline	NI	Réunion administrative des non-inscrits	30/06/2017	01/10/2017	Membre	30/06/2017	01/10/2017
000757	1466	1726	d'Argenlieu	Philippe	UNR	Union pour la Nouvelle République		01/10/1968	Membre		01/10/1968
000037	929	1189	Armengaud	André	RI	Groupe des RI		11/03/1974	Membre		11/03/1974
96008H	39	2068	Arnaud	Philippe	UC	Groupe Union Centriste		30/09/2008	Vice-Président	06/10/2004	30/09/2008
96008H	39	39	Arnaud	Philippe	UC	Groupe Union Centriste		30/09/2008	Membre		05/10/2004
14261S	2522	2840	Arnell	Guillaume	AUCUN	Sénateurs n'appartenant à aucun groupe	01/10/2014	06/10/2014	Membre	01/10/2014	06/10/2014
