Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date de debut de mandat	Date de fin de mandat	Article metropole	Metropole	Identifiant fonction	Date de debut de fonction	Date de fin de fonction	Fonction
14239U	M.	Amiel	Michel	ACTIF	15301	01/01/2016		de la 	Métropole d'Aix-Marseille-Provence	13898	01/01/2016		Conseiller
08025T	M.	Anziani	Alain	ANCIEN	15306	01/01/2016		de 	Bordeaux Métropole	13903	01/01/2016		Vice-Président
19515S	M.	Babary	Serge	ACTIF	51524	20/03/2017		de 	Tours Métropole Val de Loire	50862	20/03/2017		Conseiller
19651A	M.	Bargeton	Julien	ACTIF	51424	02/01/2015		de la 	Métropole du Grand Paris	50622	02/01/2015		Conseiller
14065Q	M.	Bigot	Jacques	ACTIF	15325	01/01/2016		de l'	Eurométropole de Strasbourg	13923	01/01/2016		Conseiller
11040E	M.	Bocquet	Éric	ACTIF	15308	01/01/2016		de la 	Métropole européenne de Lille	13905	01/01/2016		Conseiller
19643A	Mme	Boulay-Espéronnier	Céline	ACTIF	51389	14/12/2015		de la 	Métropole du Grand Paris	50569	14/12/2015		Conseiller
04047H	M.	Buffet	François-Noël	ACTIF	14406	01/01/2015		de la 	Métropole de Lyon	13707	01/01/2015		Conseiller
04042C	M.	Cambon	Christian	ACTIF	15313	01/01/2016		de la 	Métropole du Grand Paris	13910	01/01/2016		Conseiller
11053K	M.	Capo-Canellas	Vincent	ACTIF	15312	01/01/2016		de la 	Métropole du Grand Paris	13909	01/01/2016		Conseiller
11032E	M.	Carvounas	Luc	ANCIEN	15311	01/01/2016		de la 	Métropole du Grand Paris	13908	01/01/2016		Vice-Président
19721W	M.	Cazabonne	Alain	ACTIF	51461	01/01/2015		de 	Bordeaux Métropole	50671	01/01/2015	01/10/2017	Vice-Président
19721W	M.	Cazabonne	Alain	ACTIF	51461	01/01/2015		de 	Bordeaux Métropole	50855	02/10/2017		Conseiller
99002P	M.	Collomb	Gérard	ANCIEN	14405	01/01/2015		de la 	Métropole de Lyon	13706	01/01/2015	09/07/2017	Président
99002P	M.	Collomb	Gérard	ANCIEN	14405	01/01/2015		de la 	Métropole de Lyon	51133	10/07/2017		Conseiller
04086Q	M.	Dallier	Philippe	ACTIF	15314	01/01/2016		de la 	Métropole du Grand Paris	13911	01/01/2016		Conseiller
11065P	M.	Dantec	Ronan	ACTIF	15319	01/01/2016	10/02/2017	de 	Nantes Métropole	13916	01/01/2016	10/02/2017	Conseiller
04008A	M.	Daubresse	Marc-Philippe	ACTIF	50991	07/04/2014		de la 	Métropole européenne de Lille	50300	07/04/2014	29/12/2017	Vice-Président
04008A	M.	Daubresse	Marc-Philippe	ACTIF	50991	07/04/2014		de la 	Métropole européenne de Lille	51002	30/12/2017		Conseiller
19719D	Mme	Delattre	Nathalie	ACTIF	51490	01/01/2015		de 	Bordeaux Métropole	50692	01/01/2015		Conseiller
19251M	M.	Devinaz	Gilbert-Luc	ACTIF	51619	01/01/2015		de la 	Métropole de Lyon	51089	01/01/2015		Conseiller
14187A	Mme	Estrosi Sassone	Dominique	ACTIF	15320	01/01/2016		de la 	Métropole Nice Côte d'Azur	13917	01/01/2016		Conseiller
14087W	M.	Forissier	Michel	ACTIF	14409	01/01/2015		de la 	Métropole de Lyon	13710	01/01/2015		Conseiller
