Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Article de la commune	Commune	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
14263U	M.	Abate	Patrick	ANCIEN	14392			1989			de 	Talange	13697		1989			Maire
95004Y	M.	About	Nicolas	ANCIEN	788			1977	11/03/2001	2001	de 	Montigny-le-Bretonneux	10593		1977	11/03/2001		Maire
95004Y	M.	About	Nicolas	ANCIEN	6043		11/03/2001	2001	04/10/2004	2004	de	Montigny-le-Bretonneux	2342	11/03/2001	2001	17/03/2001	2001	Conseiller municipal
95004Y	M.	About	Nicolas	ANCIEN	6043		11/03/2001	2001	04/10/2004	2004	de	Montigny-le-Bretonneux	2702	17/03/2001	2001	04/10/2004	2004	Maire
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11411		1977		1986	Conseiller municipal
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11412		1986	01/04/2004	2004	Maire
08008S	M.	Ackermann	Yves	ANCIEN	11465			1977		2008	de	Valdoie	11413	01/04/2004	2004		2008	Adjoint au maire
58343H	Mme	Alduy	Jacqueline	ANCIEN	10056				15/03/2016	2016		Amélie les Bains Palalda	3226			15/03/2016	2016	Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	2919	13/06/1993	1993	25/03/2001	2001	Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	10599	25/03/2001	2001	26/04/2009		Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	11748	30/06/2009		21/10/2009		Maire
01006K	M.	Alduy	Jean-Paul	ANCIEN	6360		13/06/1993	1993			de	Perpignan	11763	22/10/2009				Adjoint au maire
59213C	M.	Alduy	Paul	ANCIEN	10057				23/01/2006	2006		Perpignan	3227			23/01/2006	2006	Maire
