Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Region	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
14263U	M.	Abate	Patrick	ANCIEN	14393		15/03/1998		22/12/2014		Lorraine	13698	15/03/1998		30/03/2004		Conseiller régional
14263U	M.	Abate	Patrick	ANCIEN	14393		15/03/1998		22/12/2014		Lorraine	13699	01/04/2004		22/12/2014		Conseiller régional
95004Y	M.	About	Nicolas	ANCIEN	10607		28/03/2004	2004			Ile-de-France	10610	28/03/2004	2004			Conseiller régional
01065W	M.	Alfonsi	Nicolas	ANCIEN	6658		01/08/1982	1982	01/12/2001	2001	Corse	3105	01/08/1982	1982	22/03/1992	1992	Conseiller régional
01065W	M.	Alfonsi	Nicolas	ANCIEN	6658		01/08/1982	1982	01/12/2001	2001	Corse	10604	22/03/1992	1992	18/03/1998	1998	Premier Vice-Président du conseil régional
01065W	M.	Alfonsi	Nicolas	ANCIEN	6658		01/08/1982	1982	01/12/2001	2001	Corse	11410	22/03/1998	1998	01/12/2001	2001	Conseiller régional
01065W	M.	Alfonsi	Nicolas	ANCIEN	10608		28/03/2004	2004	28/03/2004	2004	Corse	10611	28/03/2004	2004	28/03/2004	2004	Conseiller régional
04087R	Mme	Alquier	Jacqueline	ANCIEN	10990			1998	21/03/2010	2010	Midi-Pyrénées	10992		1998	21/03/2010	2010	Conseiller régional
01031L	Mme	André	Michèle	ANCIEN	6516		22/03/1992	1992	15/03/1998	1998	Auvergne	2985	22/03/1992	1992	15/03/1998	1998	Conseiller régional
98036V	M.	André	Pierre	ANCIEN	5144		16/03/1986	1986	05/10/1998		Picardie	2068	16/03/1986	1986	21/03/1992	1992	Conseiller régional
98036V	M.	André	Pierre	ANCIEN	5144		16/03/1986	1986	05/10/1998		Picardie	10703	22/03/1992	1992	15/03/1998	1998	Vice-Président du conseil régional
98036V	M.	André	Pierre	ANCIEN	5144		16/03/1986	1986	05/10/1998		Picardie	10704	16/03/1998	1998	05/10/1998	1998	Conseiller régional
08040S	M.	Andreoni	Serge	ANCIEN	11651		01/04/1992	1992	31/03/2004	2004	Provence-Alpes-Côte d'Azur	11525	01/04/1992	1992	31/03/2004	2004	Conseiller régional
11109J	M.	Antiste	Maurice	ACTIF	12838		01/03/2010		01/10/2011		Martinique	13027	01/03/2010		01/10/2011		Vice-Président du conseil régional
08072B	M.	Antoinette	Jean-Étienne	ANCIEN	11792		01/03/2004	2004		2008	Guyane	11638	01/03/2004	2004		2008	Conseiller régional
08025T	M.	Anziani	Alain	ANCIEN	11578			1992		2008	Aquitaine	11470		1992		1998	Conseiller régional
08025T	M.	Anziani	Alain	ANCIEN	11578			1992		2008	Aquitaine	11471		1998		2008	Vice-Président du conseil régional
19760E	Mme	Apourceau-Poly	Cathy	ACTIF	51609		28/03/2004		13/12/2015		Nord-Pas-de-Calais	51076	28/03/2004		13/12/2015		Conseiller régional
19631V	Mme	Artigalas	Viviane	ACTIF	51419		21/03/2010		13/12/2015		Midi-Pyrénées	50613	21/03/2010		13/12/2015		Vice-Président du conseil régional
83012K	M.	Autain	François	ANCIEN	10671			1983	16/03/1986	1986	Pays de la Loire	10717		1983	16/03/1986	1986	Conseiller régional
00001A	M.	Autexier	Jean-Yves	ANCIEN	5852		16/03/1986	1986	22/03/1992	1992	Ile-de-France	2200	16/03/1986	1986	22/03/1992	1992	Conseiller régional
95007C	M.	Badré	Denis	ANCIEN	10678		22/03/1992	1992		1996	Ile-de-France	10729	22/03/1992	1992		1996	Conseiller régional
11039M	M.	Bailly	Dominique	ANCIEN	12381		15/03/1998			2011	Nord-Pas-de-Calais	12453	15/03/1998			2011	Conseiller régional
01008M	M.	Bailly	Gérard	ANCIEN	6582		16/03/1986	1986		2001	Franche-Comté	3046	16/03/1986	1986		1988	Conseiller régional
01008M	M.	Bailly	Gérard	ANCIEN	6582		16/03/1986	1986		2001	Franche-Comté	10730		1988		2001	Vice-Président du conseil régional
01046T	M.	Barbier	Gilbert	ANCIEN	6563			1983		1986	Franche-Comté	3024		1983		1986	Vice-Président du conseil régional
92007P	M.	Baudot	Jacques	ANCIEN	10684		16/03/1986	1986	22/06/1992	1992	Lorraine	10738	16/03/1986	1986		1988	Conseiller régional
92007P	M.	Baudot	Jacques	ANCIEN	10684		16/03/1986	1986	22/06/1992	1992	Lorraine	10739		1988	22/06/1992	1992	Vice-Président du conseil régional
95009E	M.	Bécot	Michel	ANCIEN	1499			1995	28/03/2004	2004	Poitou-Charentes	1499		1995		1998	Conseiller régional
95009E	M.	Bécot	Michel	ANCIEN	1499			1995	28/03/2004	2004	Poitou-Charentes	10750		1998		1999	Vice-Président du conseil régional
95009E	M.	Bécot	Michel	ANCIEN	1499			1995	28/03/2004	2004	Poitou-Charentes	10751		1999	28/03/2004	2004	Conseiller régional
98006P	M.	Bel	Jean-Pierre	ANCIEN	10691			1992	15/03/1998	1998	Midi-Pyrénées	10752		1992	15/03/1998	1998	Conseiller régional
89013M	M.	Belot	Claude	ANCIEN	10693			1985		1989	Poitou-Charentes	10755		1985		1989	Vice-Président du conseil régional
74011H	M.	Berchet	Georges	ANCIEN	1490				23/09/1973	1973	Champagne-Ardenne	1490			23/09/1973	1973	Conseiller régional
89019T	Mme	Bergé-Lavigne	Maryse	ANCIEN	10694		16/03/1986	1986	22/03/1992	1992	Midi-Pyrénées	10758	16/03/1986	1986	22/03/1992	1992	Conseiller régional
