Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Motif debut de mandat	Date de fin de mandat	Annee de fin de mandat	Motif fin de mandat	Commentaire
83008P	M.	Abadie	François	ANCIEN	1	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83008P	M.	Abadie	François	ANCIEN	2	27/09/1992	02/10/1992		Renouvellement 1	02/03/2001	2001	Décédé	
14263U	M.	Abate	Patrick	ANCIEN	14390		22/12/2014		Remplace	17/06/2017		Reprise mandat d'ancien membre du Gvt	en remplacement de M. Jean-Marc Todeschini, devenu membre du Gouvernement
57316A	M.	Abdellatif	Mohamed	ANCIEN	9484	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
95004Y	M.	About	Nicolas	ANCIEN	3	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95004Y	M.	About	Nicolas	ANCIEN	10857	26/09/2004	01/10/2004		Renouvellement 1	23/01/2011		Cessation de mandat	
000346	M.	Achour	Youssef	ANCIEN	9486	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
08008S	M.	Ackermann	Yves	ANCIEN	11464	08/09/2008	08/09/2008		Remplace	30/09/2008		Non réélu	En remplacement de M. Dreyfus-Schmidt, décédé
89017R	M.	Adnot	Philippe	ACTIF	4	24/09/1989	02/10/1989		Election	30/09/1998		Fin de mandat	
89017R	M.	Adnot	Philippe	ACTIF	5027	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Fin de mandat	
89017R	M.	Adnot	Philippe	ACTIF	11494	21/09/2008	01/10/2008		Renouvellement 2	30/09/2014		Fin de mandat	
89017R	M.	Adnot	Philippe	ACTIF	14062	28/09/2014	01/10/2014		Renouvellement			En Cours	
000448	M.	Agarande	Henri	ANCIEN	1921		10/06/1978		Remplace	01/10/1980		Ne se représente pas	En remplacement de M. Léopold HEDER, décédé
000425	M.	Ahmed	Abdallah Abderamane	ANCIEN	9480	26/04/1959	28/04/1959		Election	01/10/1968		Fin de mandat	
000425	M.	Ahmed	Abdallah Abderamane	ANCIEN	9481	22/09/1968	02/10/1968		Renouvellement	09/01/1973		Démissionnaire	
11076S	Mme	Aïchi	Leila	ANCIEN	12740	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
000260	M.	Al Sid Cheikh	Cheikh	ANCIEN	9489	24/05/1959	24/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
58343H	Mme	Alduy	Jacqueline	ANCIEN	1927		23/10/1982		Remplace	02/10/1983		Ne se représente pas	En remplacement de M. Léon Jean GREGORY, décédé
01006K	M.	Alduy	Jean-Paul	ANCIEN	6359	23/09/2001	01/10/2001		Election	30/09/2011		Non réélu	
59213C	M.	Alduy	Paul	ANCIEN	1929	25/09/1983	03/10/1983		Election	01/10/1992		Non réélu	
57773X	Mme	Alexandre Debray	Janine	ANCIEN	1931		17/02/1976		Remplace	02/10/1977		Ne se représente pas	En remplacement de M. Jean LEGARET, décédé
01065W	M.	Alfonsi	Nicolas	ANCIEN	6649	02/12/2001	02/12/2001		Election	30/09/2008		Fin de mandat	
01065W	M.	Alfonsi	Nicolas	ANCIEN	11477	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Ne se représente pas	
000087	M.	Allies	Charles	ANCIEN	1933	26/09/1971	02/10/1971		Election	01/10/1980		Ne se représente pas	
14133K	M.	Allizard	Pascal	ACTIF	14088	28/09/2014	01/10/2014		Election			En Cours	
80002U	M.	Alloncle	Michel	ANCIEN	5	28/09/1980	02/10/1980		Election	01/10/1989		Fin de mandat	
80002U	M.	Alloncle	Michel	ANCIEN	6	24/09/1989	02/10/1989		Renouvellement 1	30/09/1998		Ne se représente pas	
83010H	M.	Allouche	Guy	ANCIEN	7	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83010H	M.	Allouche	Guy	ANCIEN	8	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Ne se représente pas	
04087R	Mme	Alquier	Jacqueline	ANCIEN	10989	26/09/2004	01/10/2004		Election	30/09/2014		Ne se représente pas	
000724	M.	Alric	Gustave	ANCIEN	5308		19/06/1955		Renouvellement 2	27/04/1959		Fin de mandat	
000724	M.	Alric	Gustave	ANCIEN	5309	26/04/1959	28/04/1959		Renouvellement 3	01/10/1962		Fin de mandat	
000724	M.	Alric	Gustave	ANCIEN	5311	23/09/1962	02/10/1962		Renouvellement 5	17/10/1967		Décédé	
92006N	M.	Althapé	Louis	ANCIEN	9	27/09/1992	02/10/1992		Election	30/09/2001		Non réélu	
59214D	M.	Amelin	Jean	ANCIEN	1936		19/03/1976		Remplace	02/10/1983		Fin de mandat	En remplacement de M. Jean COLLERY, décédé
59214D	M.	Amelin	Jean	ANCIEN	1937	25/09/1983	03/10/1983		Renouvellement	01/10/1992		Ne se représente pas	
57716N	M.	Amic	Auguste	ANCIEN	1939		06/12/1972		Remplace	02/10/1977		Non réélu	En remplacement de M. Edouard Le Bellegou, décédé
14239U	M.	Amiel	Michel	ACTIF	14201	28/09/2014	01/10/2014		Election			En Cours	
95005A	M.	Amoudry	Jean-Paul	ANCIEN	10	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95005A	M.	Amoudry	Jean-Paul	ANCIEN	10756	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Non réélu	
000689	M.	Andre	Louis	ANCIEN	5314		19/06/1955		Renouvellement 1	27/04/1959		Fin de mandat	
000689	M.	Andre	Louis	ANCIEN	5315	26/04/1959	28/04/1959		Renouvellement 2	01/10/1962		Fin de mandat	
000689	M.	Andre	Louis	ANCIEN	5316	23/09/1962	02/10/1962		Renouvellement 3	01/10/1971		Ne se représente pas	
01031L	Mme	André	Michèle	ANCIEN	6437	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01031L	Mme	André	Michèle	ANCIEN	12673	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
