Code departement	Code canton	Libelle canton	Serie
01	01	AMBERIEU EN BUGEY	1
01	02	ATTIGNAT	
01	02	BAGE LE CHATEL	2
01	03	BELLEGARDE SUR VALSERINE	2
01	04	BELLEY	2
01	05	BOURG EN BRESSE 1	
01	05	BOURG EN BRESSE EST	1
01	06	BOURG EN BRESSE 2	
01	06	BRENOD	1
01	07	CEYZERIAT	1
01	08	CHALAMONT	1
01	09	CHAMPAGNE EN VALROMEY	1
01	10	CHATILLON SUR CHALARONNE	2
01	11	COLIGNY	2
01	12	COLLONGES	1
01	13	FERNEY VOLTAIRE	2
01	14	GEX	1
01	15	HAUTEVILLE LOMPNES	2
01	15	OYONNAX	
01	16	IZERNORE	1
01	17	LAGNIEU	1
01	17	REPLONGES	
01	18	LHUIS	2
01	18	SAINT ETIENNE DU BOIS	
01	19	MEXIMIEUX	1
01	19	SAINT GENIS POUILLY	
01	20	MONTLUEL	2
01	20	THOIRY	
01	21	MONTREVEL EN BRESSE	1
01	22	NANTUA	2
01	23	OYONNAX NORD	1
01	23	VONNAS	
01	24	PONCIN	2
01	25	PONT D AIN	2
01	26	PONT DE VAUX	1
01	27	PONT DE VEYLE	2
01	28	SAINT RAMBERT EN BUGEY	1
01	29	SAINT TRIVIER DE COURTES	2
01	30	SAINT TRIVIER SUR MOIGNANS	1
01	31	SEYSSEL	2
01	32	THOISSEY	2
01	33	TREFFORT CUISIAT	1
01	34	TREVOUX	2
01	35	VILLARS LES DOMBES	2
01	36	VIRIEU LE GRAND	2
01	37	BOURG EN BRESSE NORD CENTRE	1
01	38	BOURG EN BRESSE SUD	1
01	39	PERONNAS	2
01	40	MIRIBEL	2
01	41	OYONNAX SUD	1
01	42	REYRIEUX	1
01	43	VIRIAT	2
02	01	ANIZY LE CHATEAU	2
02	02	AUBENTON	1
02	03	BOHAIN EN VERMANDOIS	2
02	04	BRAINE	2
02	04	ESSOMES SUR MARNE	
02	05	LA CAPELLE	2
02	06	GUIGNICOURT	
02	06	LE CATELET	1
02	07	CHARLY	1
02	08	CHATEAU THIERRY	2
02	09	CHAUNY	2
02	09	LAON 1	
02	10	CONDE EN BRIE	1
02	10	LAON 2	
02	11	COUCY LE CHATEAU AUFFRIQUE	1
02	12	CRAONNE	2
02	13	CRECY SUR SERRE	1
02	13	SAINT QUENTIN 1	
02	14	LA FERE	1
02	14	SAINT QUENTIN 2	
02	15	FERE EN TARDENOIS	2
02	15	SAINT QUENTIN 3	
02	16	GUISE	1
02	16	SOISSONS 1	
02	17	HIRSON	1
02	17	SOISSONS 2	
02	18	LAON NORD	2
02	19	MARLE	2
02	20	MOY DE L AISNE	1
02	21	NEUFCHATEL SUR AISNE	2
02	22	NEUILLY SAINT FRONT	1
02	23	LE NOUVION EN THIERACHE	2
02	24	OULCHY LE CHATEAU	1
02	25	RIBEMONT	2
02	26	ROZOY SUR SERRE	1
02	27	SAINS RICHAUMONT	2
02	28	SAINT QUENTIN CENTRE	2
02	29	SAINT SIMON	1
02	30	SISSONNE	2
02	31	SOISSONS NORD	1
02	32	VAILLY SUR AISNE	2
02	33	VERMAND	2
02	34	VERVINS	2
02	35	VIC SUR AISNE	2
02	36	VILLERS COTTERETS	1
02	37	WASSIGNY	1
02	38	LAON SUD	1
02	39	SAINT QUENTIN NORD	2
02	40	SAINT QUENTIN SUD	1
02	41	SOISSONS SUD	1
02	42	TERGNIER	1
03	01	BELLERIVE SUR ALLIER	
03	01	BOURBON L ARCHAMBAULT	2
03	02	CERILLY	2
03	03	CHANTELLE	2
03	04	CHEVAGNES	1
03	04	CUSSET	
03	05	COMMENTRY	1
03	06	CUSSET NORD	2
03	07	DOMPIERRE SUR BESBRE	2
03	08	LE DONJON	1
03	09	EBREUIL	1
03	09	MONTLUCON 1	
03	10	ESCUROLLES	2
03	10	MONTLUCON 2	
03	11	GANNAT	1
03	11	MONTLUCON 3	
03	12	HERISSON	2
03	12	MONTLUCON 4	
03	13	HURIEL	1
03	13	MOULINS 1	
03	14	JALIGNY SUR BESBRE	2
03	14	MOULINS 2	
03	15	LAPALISSE	1
03	16	LURCY LEVIS	1
03	17	MARCILLAT EN COMBRAILLE	2
03	17	VICHY 1	
03	18	LE MAYET DE MONTAGNE	2
03	18	VICHY 2	
03	19	LE MONTET	2
03	20	MONTLUCON EST	1
03	21	MONTLUCON OUEST	2
03	22	MONTMARAULT	1
03	23	MOULINS SUD	1
03	24	MOULINS OUEST	2
03	25	NEUILLY LE REAL	1
03	26	SAINT POURCAIN SUR SIOULE	1
03	27	SOUVIGNY	2
03	28	VARENNES SUR ALLIER	1
03	29	VICHY NORD	1
03	30	VICHY SUD	2
03	31	MONTLUCON NORD EST	1
03	32	MONTLUCON SUD	1
03	33	YZEURE	2
03	34	DOMERAT MONTLUCON NORD OUEST	2
03	35	CUSSET SUD	2
04	02	ANNOT	2
04	03	BANON	2
04	03	CHATEAU ARNOUX SAINT AUBAN	
04	04	BARCELONNETTE	2
04	04	DIGNE LES BAINS 1	
04	05	BARREME	2
04	05	DIGNE LES BAINS 2	
04	06	CASTELLANE	2
04	07	ALLOS COLMARS	1
04	07	MANOSQUE 1	
04	08	DIGNE EST	1
04	08	MANOSQUE 2	
04	09	ENTREVAUX	1
04	09	MANOSQUE 3	
04	10	FORCALQUIER	2
04	10	ORAISON	
04	11	LA JAVIE	2
04	12	LE LAUZET UBAYE	1
04	13	MANOSQUE NORD	2
04	14	LES MEES	1
04	15	MEZEL	2
04	16	LA MOTTE DU CAIRE	1
04	17	MOUSTIERS SAINTE MARIE	1
04	18	NOYERS SUR JABRON	2
04	19	PEYRUIS	1
04	20	REILLANNE	2
04	21	RIEZ	2
04	22	SAINT ANDRE LES ALPES	2
04	23	SAINT ETIENNE LES ORGUES	1
04	26	SEYNE	1
04	27	SISTERON	1
04	28	TURRIERS	1
04	29	VALENSOLE	2
04	30	VOLONNE	2
04	31	DIGNE OUEST	1
04	32	MANOSQUE SUD EST	2
04	33	MANOSQUE SUD OUEST	1
