Code departement	Serie
01	a
02	a
03	a
04	a
05	a
06	a
07	a
08	a
09	a
10	a
11	a
12	a
13	a
14	a
15	a
16	a
17	a
18	a
19	a
2A	a
2B	a
21	a
22	a
23	a
24	a
25	a
26	a
27	a
28	a
29	a
30	a
31	a
32	a
33	a
34	a
35	a
36	a
37	b
38	b
39	b
40	b
41	b
42	b
43	b
44	b
45	b
46	b
47	b
48	b
49	b
50	b
51	b
52	b
53	b
54	b
55	b
56	b
57	b
58	b
59	b
60	b
61	c1
62	b
63	b
64	b
65	b
66	b
67	c2
68	c2
69	c2
70	c2
71	c2
72	c2
73	c2
74	c2
75	c1
76	c2
77	c1
78	c1
79	c2
80	c2
81	c2
82	c2
83	c2
84	c2
85	c2
86	c2
87	c2
88	c2
89	c2
90	a
91	c1
92	c1
93	c1
94	c1
95	c1
ZA	c1
ZB	c1
ZC	a
ZD	b
ZM	c1
ZN	b
ZP	a
ZS	c1
ZT	a
ZW	a
ZY	a
